Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 1248.07    | 1321.95    | 0.0984     | 0.0577     | 42.69   
100    | 1.933  | 1043.60    | 1066.06    | 0.0684     | 0.0207     | 10.04   
200    | 1.867  | 1033.58    | 1046.38    | 0.0259     | 0.0144     | 6.62    
300    | 1.800  | 1032.48    | 1041.12    | 0.0154     | 0.0125     | 5.64    
400    | 1.733  | 1031.74    | 1037.35    | 0.0160     | 0.0108     | 4.82    
500    | 1.667  | 1031.27    | 1034.50    | 0.0096     | 0.0088     | 3.94    
600    | 1.600  | 1031.36    | 1033.01    | 0.0090     | 0.0074     | 3.30    
700    | 1.533  | 1031.08    | 1031.67    | 0.0103     | 0.0063     | 2.77    
800    | 1.467  | 1030.84    | 1030.66    | 0.0082     | 0.0055     | 2.40    
900    | 1.400  | 1030.55    | 1029.82    | 0.0085     | 0.0048     | 2.09    
1000   | 1.333  | 1030.37    | 1029.12    | 0.0152     | 0.0042     | 1.80    
1100   | 1.267  | 1029.36    | 1027.74    | 0.0106     | 0.0036     | 1.54    
1200   | 1.200  | 1028.97    | 1026.96    | 0.0059     | 0.0034     | 1.43    
1300   | 1.133  | 1027.85    | 1025.33    | 0.0039     | 0.0033     | 1.34    
1400   | 1.067  | 1027.64    | 1024.65    | 0.0035     | 0.0031     | 1.26    
1500   | 1.000  | 1027.69    | 1024.31    | 0.0043     | 0.0029     | 1.15    
1600   | 0.933  | 1027.44    | 1023.87    | 0.0046     | 0.0026     | 1.02    
1700   | 0.867  | 1027.18    | 1023.58    | 0.0028     | 0.0022     | 0.86    
1800   | 0.800  | 1027.20    | 1023.46    | 0.0021     | 0.0020     | 0.79    
1900   | 0.733  | 1026.70    | 1022.79    | 0.0845     | 0.0019     | 0.74    
2000   | 0.667  | 1026.09    | 1022.25    | 0.0094     | 0.0016     | 0.66    
2100   | 0.600  | 1024.75    | 1021.29    | 0.0719     | 0.0014     | 0.58    
2200   | 0.533  | 1023.99    | 1021.04    | 0.0221     | 0.0012     | 0.49    
2300   | 0.467  | 1023.16    | 1020.86    | 0.0090     | 0.0009     | 0.39    
2400   | 0.400  | 1021.38    | 1019.72    | 0.0006     | 0.0007     | 0.31    
2500   | 0.333  | 1021.27    | 1019.66    | 0.0227     | 0.0007     | 0.29    
2600   | 0.267  | 1018.63    | 1017.55    | 0.0001     | 0.0005     | 0.24    
2700   | 0.200  | 1018.14    | 1017.45    | 0.0017     | 0.0004     | 0.20    
2800   | 0.133  | 1017.70    | 1017.25    | 0.0003     | 0.0003     | 0.17    
2900   | 0.067  | 1017.49    | 1017.00    | 0.0003     | 0.0003     | 0.16    
2999   | 0.050  | 1016.91    | 1016.47    | 0.0004     | 0.0003     | 0.15    
