Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 71100.52   | 71184.37   | 12.6683    | 0.0518     | 50.10   
100    | 1.933  | 29686.07   | 29700.40   | 12.3586    | 0.0104     | 6.63    
200    | 1.867  | 26539.24   | 26544.32   | 2.9765     | 0.0043     | 2.47    
300    | 1.800  | 25561.35   | 25566.17   | 1.7018     | 0.0047     | 2.51    
400    | 1.733  | 24972.68   | 24976.62   | 1.8951     | 0.0048     | 2.46    
500    | 1.667  | 24526.43   | 24529.04   | 1.2071     | 0.0046     | 2.31    
600    | 1.600  | 24202.30   | 24203.70   | 1.3324     | 0.0045     | 2.22    
700    | 1.533  | 23930.97   | 23931.04   | 1.0195     | 0.0042     | 2.06    
800    | 1.467  | 23760.88   | 23759.81   | 1.0315     | 0.0038     | 1.86    
900    | 1.400  | 23581.79   | 23579.73   | 0.9231     | 0.0035     | 1.70    
1000   | 1.333  | 23440.45   | 23437.67   | 0.7923     | 0.0032     | 1.58    
1100   | 1.267  | 23323.44   | 23320.07   | 0.4099     | 0.0030     | 1.44    
1200   | 1.200  | 23256.15   | 23252.28   | 1.3686     | 0.0026     | 1.30    
1300   | 1.133  | 23157.27   | 23153.15   | 0.2478     | 0.0024     | 1.19    
1400   | 1.067  | 23109.83   | 23105.29   | 1.1857     | 0.0023     | 1.12    
1500   | 1.000  | 23020.60   | 23015.85   | 0.7457     | 0.0021     | 1.04    
1600   | 0.933  | 22950.98   | 22946.12   | 0.2230     | 0.0019     | 0.96    
1700   | 0.867  | 22875.24   | 22870.26   | 0.2170     | 0.0018     | 0.89    
1800   | 0.800  | 22850.92   | 22845.76   | 0.2274     | 0.0017     | 0.84    
1900   | 0.733  | 22823.46   | 22818.25   | 0.1929     | 0.0016     | 0.79    
2000   | 0.667  | 22756.93   | 22751.45   | 0.2680     | 0.0015     | 0.76    
2100   | 0.600  | 22680.05   | 22674.59   | 0.4942     | 0.0014     | 0.72    
2200   | 0.533  | 22601.08   | 22595.65   | 0.9795     | 0.0013     | 0.67    
2300   | 0.467  | 22553.68   | 22548.39   | 1.1169     | 0.0012     | 0.63    
2400   | 0.400  | 22450.93   | 22445.90   | 1.4396     | 0.0012     | 0.59    
2500   | 0.333  | 22406.46   | 22401.48   | 2.7351     | 0.0011     | 0.56    
2600   | 0.267  | 22387.82   | 22382.90   | 2.3530     | 0.0010     | 0.53    
2700   | 0.200  | 22313.59   | 22308.73   | 1.7640     | 0.0010     | 0.52    
2800   | 0.133  | 22272.35   | 22267.41   | 15.5361    | 0.0010     | 0.50    
2900   | 0.067  | 22199.90   | 22195.12   | 43.2981    | 0.0009     | 0.46    
2999   | 0.050  | 22122.43   | 22117.70   | 29.6749    | 0.0009     | 0.43    
