Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 159.85     | 233.71     | 0.0344     | 0.0577     | 42.67   
100    | 1.933  | 122.69     | 171.10     | 0.0103     | 0.0438     | 22.73   
200    | 1.867  | 128.76     | 162.61     | 0.0069     | 0.0385     | 18.55   
300    | 1.800  | 134.66     | 156.13     | 0.0073     | 0.0325     | 15.07   
400    | 1.733  | 137.95     | 149.44     | 0.0084     | 0.0245     | 11.06   
500    | 1.667  | 137.87     | 142.89     | 0.0116     | 0.0168     | 7.40    
600    | 1.600  | 135.32     | 137.02     | 0.0201     | 0.0123     | 5.25    
700    | 1.533  | 133.67     | 133.36     | 0.0148     | 0.0100     | 4.15    
800    | 1.467  | 132.01     | 130.18     | 0.0068     | 0.0090     | 3.68    
900    | 1.400  | 130.81     | 127.68     | 0.0060     | 0.0083     | 3.31    
1000   | 1.333  | 130.59     | 126.05     | 0.0122     | 0.0079     | 3.10    
1100   | 1.267  | 130.12     | 124.44     | 0.0077     | 0.0074     | 2.90    
1200   | 1.200  | 129.77     | 123.11     | 0.0095     | 0.0066     | 2.60    
1300   | 1.133  | 128.98     | 121.78     | 0.0079     | 0.0057     | 2.26    
1400   | 1.067  | 128.58     | 120.79     | 0.0175     | 0.0052     | 2.03    
1500   | 1.000  | 128.11     | 120.01     | 0.0076     | 0.0047     | 1.86    
1600   | 0.933  | 127.61     | 119.21     | 0.0123     | 0.0043     | 1.69    
1700   | 0.867  | 126.72     | 118.25     | 0.0084     | 0.0039     | 1.54    
1800   | 0.800  | 126.11     | 117.96     | 0.0059     | 0.0034     | 1.37    
1900   | 0.733  | 125.84     | 117.73     | 0.0201     | 0.0031     | 1.26    
2000   | 0.667  | 124.88     | 117.04     | 0.0130     | 0.0028     | 1.15    
2100   | 0.600  | 123.75     | 116.03     | 0.0263     | 0.0026     | 1.07    
2200   | 0.533  | 123.26     | 115.61     | 0.0030     | 0.0024     | 1.01    
2300   | 0.467  | 122.37     | 114.92     | 0.0240     | 0.0022     | 0.94    
2400   | 0.400  | 120.88     | 114.17     | 0.0045     | 0.0020     | 0.85    
2500   | 0.333  | 120.04     | 113.62     | 0.0193     | 0.0018     | 0.78    
2600   | 0.267  | 119.22     | 112.68     | 0.1028     | 0.0018     | 0.78    
2700   | 0.200  | 118.68     | 111.96     | 0.0211     | 0.0018     | 0.77    
2800   | 0.133  | 117.74     | 110.78     | 0.0136     | 0.0018     | 0.78    
2900   | 0.067  | 115.55     | 109.00     | 0.0593     | 0.0018     | 0.77    
2999   | 0.050  | 115.29     | 108.54     | 0.0182     | 0.0017     | 0.75    
