Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 4299.35    | 4383.20    | 0.7856     | 0.0518     | 50.12   
100    | 1.933  | 1594.47    | 1612.25    | 0.9679     | 0.0129     | 8.16    
200    | 1.867  | 1427.55    | 1433.19    | 0.1950     | 0.0051     | 2.90    
300    | 1.800  | 1406.50    | 1410.51    | 0.1242     | 0.0048     | 2.64    
400    | 1.733  | 1393.70    | 1396.39    | 0.0939     | 0.0048     | 2.58    
500    | 1.667  | 1382.29    | 1383.75    | 0.0745     | 0.0048     | 2.55    
600    | 1.600  | 1374.66    | 1374.90    | 0.0659     | 0.0049     | 2.54    
700    | 1.533  | 1366.64    | 1365.59    | 0.0399     | 0.0049     | 2.50    
800    | 1.467  | 1361.25    | 1358.95    | 0.0804     | 0.0050     | 2.55    
900    | 1.400  | 1351.63    | 1348.05    | 0.0484     | 0.0050     | 2.50    
1000   | 1.333  | 1341.45    | 1336.63    | 0.0610     | 0.0049     | 2.42    
1100   | 1.267  | 1333.66    | 1327.55    | 0.0532     | 0.0048     | 2.35    
1200   | 1.200  | 1329.27    | 1321.91    | 0.0345     | 0.0047     | 2.32    
1300   | 1.133  | 1322.06    | 1313.47    | 0.0441     | 0.0046     | 2.23    
1400   | 1.067  | 1317.83    | 1308.20    | 0.0604     | 0.0044     | 2.12    
1500   | 1.000  | 1314.63    | 1304.20    | 0.0240     | 0.0041     | 1.99    
1600   | 0.933  | 1309.06    | 1298.01    | 0.0557     | 0.0038     | 1.86    
1700   | 0.867  | 1304.04    | 1292.40    | 0.0588     | 0.0036     | 1.75    
1800   | 0.800  | 1296.95    | 1285.13    | 0.0753     | 0.0033     | 1.60    
1900   | 0.733  | 1292.12    | 1280.06    | 0.0417     | 0.0030     | 1.47    
2000   | 0.667  | 1288.40    | 1276.05    | 0.0373     | 0.0028     | 1.38    
2100   | 0.600  | 1286.15    | 1273.73    | 0.1063     | 0.0027     | 1.30    
2200   | 0.533  | 1283.47    | 1270.92    | 0.1137     | 0.0025     | 1.23    
2300   | 0.467  | 1280.47    | 1268.29    | 0.1308     | 0.0023     | 1.13    
2400   | 0.400  | 1275.49    | 1264.11    | 0.1187     | 0.0021     | 1.01    
2500   | 0.333  | 1273.26    | 1262.02    | 0.2581     | 0.0019     | 0.94    
2600   | 0.267  | 1269.63    | 1259.05    | 0.3728     | 0.0017     | 0.85    
2700   | 0.200  | 1266.37    | 1256.47    | 0.7645     | 0.0016     | 0.78    
2800   | 0.133  | 1261.02    | 1252.99    | 0.8348     | 0.0013     | 0.64    
2900   | 0.067  | 1256.21    | 1250.21    | 3.8934     | 0.0010     | 0.50    
2999   | 0.050  | 1251.49    | 1246.29    | 4.3605     | 0.0009     | 0.43    
