Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 265.80     | 419.55     | 0.0239     | 0.0300     | 107.25  
100    | 1.933  | 173.34     | 268.89     | 0.0179     | 0.0211     | 44.52   
200    | 1.867  | 183.94     | 252.35     | 0.0091     | 0.0187     | 36.58   
300    | 1.800  | 195.65     | 241.56     | 0.0086     | 0.0160     | 30.74   
400    | 1.733  | 203.65     | 231.34     | 0.0087     | 0.0126     | 23.73   
500    | 1.667  | 208.70     | 224.43     | 0.0091     | 0.0094     | 17.60   
600    | 1.600  | 211.24     | 219.80     | 0.0105     | 0.0069     | 12.72   
700    | 1.533  | 212.51     | 216.95     | 0.0128     | 0.0052     | 9.39    
800    | 1.467  | 213.01     | 214.57     | 0.0077     | 0.0041     | 7.24    
900    | 1.400  | 212.85     | 212.43     | 0.0092     | 0.0032     | 5.61    
1000   | 1.333  | 212.57     | 210.52     | 0.0057     | 0.0028     | 4.64    
1100   | 1.267  | 213.02     | 209.54     | 0.0057     | 0.0025     | 4.07    
1200   | 1.200  | 213.62     | 208.98     | 0.0066     | 0.0022     | 3.49    
1300   | 1.133  | 213.56     | 208.09     | 0.0085     | 0.0019     | 2.98    
1400   | 1.067  | 213.36     | 207.17     | 0.0095     | 0.0016     | 2.57    
1500   | 1.000  | 213.50     | 206.72     | 0.0077     | 0.0014     | 2.20    
1600   | 0.933  | 213.06     | 206.35     | 0.0128     | 0.0012     | 1.84    
1700   | 0.867  | 212.44     | 205.78     | 0.0067     | 0.0010     | 1.60    
1800   | 0.800  | 211.70     | 205.24     | 0.0112     | 0.0009     | 1.40    
1900   | 0.733  | 211.00     | 204.64     | 0.0070     | 0.0008     | 1.25    
2000   | 0.667  | 210.65     | 204.47     | 0.0016     | 0.0007     | 1.14    
2100   | 0.600  | 209.82     | 203.78     | 0.0176     | 0.0006     | 1.06    
2200   | 0.533  | 209.23     | 203.50     | 0.0053     | 0.0006     | 0.96    
2300   | 0.467  | 208.62     | 203.26     | 0.0347     | 0.0005     | 0.87    
2400   | 0.400  | 207.23     | 202.41     | 0.0007     | 0.0005     | 0.78    
2500   | 0.333  | 205.65     | 201.48     | 0.0077     | 0.0004     | 0.71    
2600   | 0.267  | 204.88     | 200.82     | 0.0013     | 0.0004     | 0.69    
2700   | 0.200  | 204.52     | 200.33     | 0.0134     | 0.0004     | 0.68    
2800   | 0.133  | 203.60     | 199.29     | 0.0771     | 0.0004     | 0.69    
2900   | 0.067  | 202.89     | 198.30     | 0.1874     | 0.0004     | 0.71    
2999   | 0.050  | 202.61     | 197.68     | 0.0003     | 0.0004     | 0.72    
