Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | -104.74    | 48.99      | 0.0133     | 0.0300     | 107.23  
100    | 1.933  | -115.90    | 14.58      | 0.0036     | 0.0274     | 77.81   
200    | 1.867  | -105.47    | 12.60      | 0.0033     | 0.0270     | 76.53   
300    | 1.800  | -96.02     | 11.38      | 0.0046     | 0.0264     | 74.44   
400    | 1.733  | -88.22     | 9.84       | 0.0063     | 0.0253     | 70.76   
500    | 1.667  | -81.86     | 8.66       | 0.0077     | 0.0243     | 67.40   
600    | 1.600  | -76.00     | 8.05       | 0.0085     | 0.0234     | 64.81   
700    | 1.533  | -70.23     | 7.29       | 0.0085     | 0.0224     | 62.12   
800    | 1.467  | -64.59     | 6.38       | 0.0082     | 0.0213     | 59.43   
900    | 1.400  | -59.02     | 5.61       | 0.0084     | 0.0204     | 57.39   
1000   | 1.333  | -53.80     | 5.00       | 0.0080     | 0.0196     | 55.81   
1100   | 1.267  | -48.80     | 4.57       | 0.0090     | 0.0191     | 54.74   
1200   | 1.200  | -43.81     | 4.08       | 0.0083     | 0.0186     | 53.65   
1300   | 1.133  | -38.91     | 3.69       | 0.0079     | 0.0181     | 52.63   
1400   | 1.067  | -34.08     | 3.32       | 0.0078     | 0.0175     | 51.40   
1500   | 1.000  | -29.42     | 2.88       | 0.0072     | 0.0169     | 49.93   
1600   | 0.933  | -24.87     | 2.58       | 0.0065     | 0.0163     | 48.32   
1700   | 0.867  | -20.47     | 2.40       | 0.0060     | 0.0156     | 46.54   
1800   | 0.800  | -16.14     | 2.30       | 0.0058     | 0.0148     | 44.13   
1900   | 0.733  | -12.02     | 2.28       | 0.0051     | 0.0139     | 41.04   
2000   | 0.667  | -8.06      | 2.26       | 0.0033     | 0.0127     | 36.99   
2100   | 0.600  | -4.29      | 2.26       | 0.0034     | 0.0110     | 31.23   
2200   | 0.533  | -1.00      | 2.26       | 0.0031     | 0.0084     | 22.92   
2300   | 0.467  | 1.41       | 2.25       | 0.0029     | 0.0051     | 13.01   
2400   | 0.400  | 2.83       | 2.24       | 0.0034     | 0.0025     | 5.90    
2500   | 0.333  | 3.53       | 2.24       | 0.0025     | 0.0010     | 2.13    
2600   | 0.267  | 3.92       | 2.24       | 0.0018     | 0.0005     | 0.97    
2700   | 0.200  | 4.13       | 2.24       | 0.0010     | 0.0004     | 0.78    
2800   | 0.133  | 4.29       | 2.24       | 0.0031     | 0.0004     | 0.71    
2900   | 0.067  | 4.43       | 2.24       | 0.0028     | 0.0004     | 0.67    
2999   | 0.050  | 4.68       | 2.24       | 0.0000     | 0.0004     | 0.67    
