Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 3868.36    | 3942.24    | 0.0964     | 0.0577     | 42.69   
100    | 1.933  | 3695.34    | 3725.51    | 0.0584     | 0.0280     | 13.31   
200    | 1.867  | 3675.67    | 3692.75    | 0.0520     | 0.0200     | 8.86    
300    | 1.800  | 3659.55    | 3669.75    | 0.0398     | 0.0158     | 6.72    
400    | 1.733  | 3648.59    | 3654.76    | 0.0472     | 0.0137     | 5.69    
500    | 1.667  | 3623.96    | 3627.20    | 0.0733     | 0.0123     | 5.01    
600    | 1.600  | 3587.70    | 3588.63    | 0.2059     | 0.0113     | 4.56    
700    | 1.533  | 3556.97    | 3555.89    | 0.3078     | 0.0107     | 4.29    
800    | 1.467  | 3500.95    | 3498.15    | 0.2888     | 0.0100     | 3.98    
900    | 1.400  | 3451.07    | 3446.74    | 0.4454     | 0.0096     | 3.75    
1000   | 1.333  | 3398.29    | 3392.77    | 0.1843     | 0.0086     | 3.36    
1100   | 1.267  | 3350.00    | 3343.76    | 0.1621     | 0.0076     | 2.96    
1200   | 1.200  | 3311.91    | 3305.19    | 0.2326     | 0.0067     | 2.61    
1300   | 1.133  | 3262.79    | 3255.97    | 0.1133     | 0.0058     | 2.28    
1400   | 1.067  | 3225.90    | 3219.24    | 0.0701     | 0.0050     | 1.97    
1500   | 1.000  | 3216.88    | 3210.22    | 0.0308     | 0.0042     | 1.69    
1600   | 0.933  | 3201.95    | 3195.08    | 0.2273     | 0.0039     | 1.57    
1700   | 0.867  | 3176.94    | 3170.31    | 0.0181     | 0.0035     | 1.40    
1800   | 0.800  | 3166.10    | 3159.49    | 0.0525     | 0.0032     | 1.29    
1900   | 0.733  | 3161.56    | 3154.68    | 0.0205     | 0.0030     | 1.22    
2000   | 0.667  | 3151.08    | 3144.30    | 0.7647     | 0.0028     | 1.14    
2100   | 0.600  | 3139.80    | 3133.12    | 0.5272     | 0.0026     | 1.06    
2200   | 0.533  | 3126.04    | 3119.07    | 0.0045     | 0.0025     | 1.03    
2300   | 0.467  | 3114.59    | 3107.49    | 0.2007     | 0.0024     | 0.99    
2400   | 0.400  | 3108.88    | 3101.58    | 0.0127     | 0.0023     | 0.95    
2500   | 0.333  | 3104.29    | 3096.59    | 0.0034     | 0.0023     | 0.94    
2600   | 0.267  | 3097.68    | 3089.80    | 0.0354     | 0.0022     | 0.91    
2700   | 0.200  | 3089.09    | 3081.08    | 0.0310     | 0.0021     | 0.88    
2800   | 0.133  | 3083.53    | 3075.31    | 0.3942     | 0.0021     | 0.85    
2900   | 0.067  | 3061.45    | 3054.31    | 0.5698     | 0.0018     | 0.74    
2999   | 0.050  | 3051.17    | 3045.07    | 0.0022     | 0.0016     | 0.65    
