Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | -12.26     | 61.59      | 0.0204     | 0.0577     | 42.66   
100    | 1.933  | -24.52     | 36.63      | 0.0047     | 0.0532     | 32.08   
200    | 1.867  | -17.96     | 35.39      | 0.0035     | 0.0530     | 31.66   
300    | 1.800  | -10.89     | 34.24      | 0.0035     | 0.0522     | 30.77   
400    | 1.733  | -3.61      | 33.37      | 0.0040     | 0.0508     | 29.62   
500    | 1.667  | 3.14       | 31.98      | 0.0050     | 0.0479     | 27.29   
600    | 1.600  | 9.12       | 29.84      | 0.0066     | 0.0433     | 23.87   
700    | 1.533  | 13.32      | 27.13      | 0.0073     | 0.0373     | 20.12   
800    | 1.467  | 15.98      | 24.07      | 0.0084     | 0.0299     | 16.01   
900    | 1.400  | 17.60      | 22.01      | 0.0066     | 0.0214     | 11.91   
1000   | 1.333  | 18.68      | 20.92      | 0.0073     | 0.0179     | 10.07   
1100   | 1.267  | 19.83      | 20.34      | 0.0034     | 0.0135     | 7.16    
1200   | 1.200  | 20.76      | 19.99      | 0.0037     | 0.0094     | 4.29    
1300   | 1.133  | 21.79      | 19.71      | 0.0041     | 0.0083     | 3.68    
1400   | 1.067  | 22.63      | 19.49      | 0.0023     | 0.0072     | 3.14    
1500   | 1.000  | 23.24      | 19.29      | 0.0049     | 0.0061     | 2.61    
1600   | 0.933  | 23.47      | 19.02      | 0.0045     | 0.0048     | 2.03    
1700   | 0.867  | 23.70      | 18.94      | 0.0087     | 0.0038     | 1.60    
1800   | 0.800  | 23.96      | 18.80      | 0.0051     | 0.0033     | 1.39    
1900   | 0.733  | 24.29      | 18.78      | 0.0039     | 0.0029     | 1.24    
2000   | 0.667  | 24.44      | 18.73      | 0.0058     | 0.0027     | 1.14    
2100   | 0.600  | 24.31      | 18.63      | 0.0038     | 0.0024     | 1.04    
2200   | 0.533  | 24.32      | 18.54      | 0.0029     | 0.0022     | 0.98    
2300   | 0.467  | 24.12      | 18.48      | 0.0068     | 0.0020     | 0.90    
2400   | 0.400  | 23.97      | 18.36      | 0.0048     | 0.0019     | 0.86    
2500   | 0.333  | 23.65      | 18.25      | 0.0000     | 0.0017     | 0.80    
2600   | 0.267  | 23.81      | 18.10      | 0.0063     | 0.0017     | 0.81    
2700   | 0.200  | 23.61      | 17.84      | 0.0346     | 0.0017     | 0.81    
2800   | 0.133  | 23.51      | 17.53      | 0.0004     | 0.0017     | 0.82    
2900   | 0.067  | 23.62      | 17.41      | 0.0000     | 0.0017     | 0.82    
2999   | 0.050  | 23.94      | 17.37      | 0.0000     | 0.0017     | 0.83    
