Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 287.25     | 440.99     | 0.0193     | 0.0300     | 107.23  
100    | 1.933  | 215.58     | 321.94     | 0.0137     | 0.0233     | 51.35   
200    | 1.867  | 227.64     | 307.86     | 0.0086     | 0.0213     | 43.77   
300    | 1.800  | 240.78     | 298.44     | 0.0079     | 0.0191     | 38.19   
400    | 1.733  | 251.17     | 289.21     | 0.0083     | 0.0158     | 31.08   
500    | 1.667  | 257.49     | 281.11     | 0.0144     | 0.0122     | 23.74   
600    | 1.600  | 258.03     | 272.72     | 0.0236     | 0.0092     | 18.05   
700    | 1.533  | 257.87     | 267.01     | 0.0142     | 0.0071     | 14.09   
800    | 1.467  | 258.11     | 263.37     | 0.0134     | 0.0059     | 11.63   
900    | 1.400  | 257.66     | 260.10     | 0.0170     | 0.0049     | 9.73    
1000   | 1.333  | 256.20     | 256.35     | 0.0107     | 0.0043     | 8.40    
1100   | 1.267  | 256.27     | 254.27     | 0.0130     | 0.0038     | 7.26    
1200   | 1.200  | 256.86     | 253.08     | 0.0098     | 0.0032     | 5.85    
1300   | 1.133  | 256.61     | 251.34     | 0.0127     | 0.0027     | 4.63    
1400   | 1.067  | 255.80     | 249.54     | 0.0137     | 0.0024     | 3.90    
1500   | 1.000  | 255.23     | 248.45     | 0.0105     | 0.0019     | 3.07    
1600   | 0.933  | 255.34     | 247.79     | 0.0057     | 0.0016     | 2.54    
1700   | 0.867  | 255.25     | 247.35     | 0.0134     | 0.0013     | 2.12    
1800   | 0.800  | 254.93     | 246.91     | 0.0108     | 0.0011     | 1.85    
1900   | 0.733  | 254.73     | 246.44     | 0.0037     | 0.0010     | 1.66    
2000   | 0.667  | 254.80     | 246.11     | 0.0138     | 0.0009     | 1.57    
2100   | 0.600  | 254.77     | 245.89     | 0.0184     | 0.0009     | 1.46    
2200   | 0.533  | 253.84     | 245.19     | 0.0536     | 0.0008     | 1.36    
2300   | 0.467  | 252.60     | 244.13     | 0.0348     | 0.0007     | 1.27    
2400   | 0.400  | 250.54     | 242.73     | 0.0070     | 0.0007     | 1.18    
2500   | 0.333  | 249.15     | 241.43     | 0.0075     | 0.0006     | 1.13    
2600   | 0.267  | 247.77     | 239.95     | 0.0067     | 0.0006     | 1.12    
2700   | 0.200  | 245.29     | 237.15     | 0.0069     | 0.0006     | 1.16    
2800   | 0.133  | 244.33     | 235.72     | 0.0107     | 0.0007     | 1.18    
2900   | 0.067  | 243.45     | 234.31     | 0.0038     | 0.0007     | 1.20    
2999   | 0.050  | 243.32     | 233.57     | 0.0000     | 0.0007     | 1.21    
