Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 41713.67   | 41767.62   | 10.9889    | 0.0749     | 28.63   
100    | 1.933  | 21253.57   | 21261.00   | 6.5346     | 0.0123     | 3.35    
200    | 1.867  | 19859.28   | 19864.08   | 2.8140     | 0.0095     | 2.31    
300    | 1.800  | 19104.05   | 19108.12   | 2.3649     | 0.0099     | 2.29    
400    | 1.733  | 18569.58   | 18572.64   | 1.3994     | 0.0101     | 2.23    
500    | 1.667  | 18265.36   | 18267.00   | 1.1258     | 0.0097     | 2.10    
600    | 1.600  | 18003.45   | 18003.69   | 0.8319     | 0.0091     | 1.95    
700    | 1.533  | 17816.55   | 17815.60   | 1.2812     | 0.0084     | 1.78    
800    | 1.467  | 17632.48   | 17630.57   | 0.8939     | 0.0074     | 1.59    
900    | 1.400  | 17510.71   | 17507.92   | 0.5536     | 0.0069     | 1.48    
1000   | 1.333  | 17343.70   | 17340.27   | 1.8717     | 0.0064     | 1.37    
1100   | 1.267  | 17229.33   | 17225.15   | 0.5268     | 0.0061     | 1.31    
1200   | 1.200  | 17139.47   | 17134.85   | 0.3717     | 0.0056     | 1.19    
1300   | 1.133  | 17027.14   | 17022.20   | 0.3162     | 0.0051     | 1.09    
1400   | 1.067  | 16974.21   | 16968.92   | 0.1990     | 0.0047     | 1.01    
1500   | 1.000  | 16939.59   | 16933.93   | 0.3140     | 0.0045     | 0.97    
1600   | 0.933  | 16876.68   | 16870.65   | 0.2608     | 0.0043     | 0.93    
1700   | 0.867  | 16847.68   | 16841.33   | 0.5999     | 0.0041     | 0.88    
1800   | 0.800  | 16801.49   | 16794.91   | 0.2529     | 0.0039     | 0.83    
1900   | 0.733  | 16771.05   | 16764.40   | 1.5327     | 0.0037     | 0.79    
2000   | 0.667  | 16752.87   | 16745.92   | 0.5497     | 0.0035     | 0.76    
2100   | 0.600  | 16738.48   | 16731.11   | 0.4676     | 0.0035     | 0.76    
2200   | 0.533  | 16707.15   | 16699.77   | 0.6396     | 0.0033     | 0.71    
2300   | 0.467  | 16703.20   | 16695.40   | 0.8265     | 0.0033     | 0.71    
2400   | 0.400  | 16680.58   | 16672.48   | 0.9989     | 0.0032     | 0.69    
2500   | 0.333  | 16661.36   | 16653.07   | 2.0826     | 0.0031     | 0.67    
2600   | 0.267  | 16629.70   | 16621.12   | 4.9161     | 0.0031     | 0.66    
2700   | 0.200  | 16601.18   | 16592.44   | 4.3515     | 0.0030     | 0.64    
2800   | 0.133  | 16567.44   | 16558.53   | 28.5333    | 0.0029     | 0.63    
2900   | 0.067  | 16528.76   | 16520.10   | 40.0414    | 0.0028     | 0.59    
2999   | 0.050  | 16479.35   | 16470.92   | 60.8546    | 0.0026     | 0.55    
