Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 2852.48    | 2916.38    | 0.1061     | 0.0652     | 35.52   
100    | 1.933  | 2697.68    | 2721.38    | 0.0611     | 0.0288     | 10.42   
200    | 1.867  | 2679.47    | 2694.26    | 0.0564     | 0.0227     | 7.64    
300    | 1.800  | 2661.69    | 2671.06    | 0.0495     | 0.0191     | 6.15    
400    | 1.733  | 2648.56    | 2653.97    | 0.0515     | 0.0160     | 5.06    
500    | 1.667  | 2637.30    | 2640.00    | 0.0390     | 0.0141     | 4.37    
600    | 1.600  | 2619.85    | 2620.41    | 0.1944     | 0.0128     | 3.95    
700    | 1.533  | 2586.34    | 2585.19    | 0.2166     | 0.0120     | 3.66    
800    | 1.467  | 2563.36    | 2560.58    | 0.1867     | 0.0111     | 3.36    
900    | 1.400  | 2518.29    | 2514.31    | 0.1921     | 0.0103     | 3.09    
1000   | 1.333  | 2485.19    | 2480.21    | 0.0484     | 0.0091     | 2.74    
1100   | 1.267  | 2467.82    | 2462.06    | 0.0787     | 0.0081     | 2.41    
1200   | 1.200  | 2452.76    | 2446.86    | 0.1581     | 0.0068     | 2.03    
1300   | 1.133  | 2434.23    | 2428.09    | 0.0681     | 0.0061     | 1.82    
1400   | 1.067  | 2420.34    | 2414.16    | 0.0218     | 0.0053     | 1.58    
1500   | 1.000  | 2416.56    | 2410.24    | 0.2384     | 0.0047     | 1.41    
1600   | 0.933  | 2402.70    | 2396.07    | 0.0332     | 0.0044     | 1.31    
1700   | 0.867  | 2393.46    | 2386.72    | 0.0176     | 0.0040     | 1.22    
1800   | 0.800  | 2384.84    | 2378.07    | 0.3387     | 0.0037     | 1.13    
1900   | 0.733  | 2377.66    | 2370.97    | 0.0234     | 0.0034     | 1.03    
2000   | 0.667  | 2369.44    | 2362.80    | 0.0032     | 0.0031     | 0.95    
2100   | 0.600  | 2365.90    | 2359.24    | 0.0325     | 0.0029     | 0.89    
2200   | 0.533  | 2364.23    | 2357.64    | 0.2888     | 0.0027     | 0.84    
2300   | 0.467  | 2350.33    | 2343.77    | 0.0038     | 0.0026     | 0.80    
2400   | 0.400  | 2335.38    | 2328.83    | 0.3390     | 0.0025     | 0.77    
2500   | 0.333  | 2328.97    | 2322.19    | 0.0275     | 0.0025     | 0.76    
2600   | 0.267  | 2319.71    | 2313.03    | 0.0176     | 0.0023     | 0.72    
2700   | 0.200  | 2313.27    | 2306.38    | 0.0204     | 0.0023     | 0.69    
2800   | 0.133  | 2307.71    | 2300.67    | 0.1010     | 0.0022     | 0.67    
2900   | 0.067  | 2298.93    | 2292.65    | 1.1158     | 0.0020     | 0.61    
2999   | 0.050  | 2283.90    | 2279.06    | 0.0146     | 0.0016     | 0.50    
