Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 56379.73   | 56448.64   | 13.0857    | 0.0613     | 39.09   
100    | 1.933  | 25749.48   | 25760.81   | 9.6926     | 0.0119     | 5.19    
200    | 1.867  | 23304.03   | 23309.85   | 3.4246     | 0.0071     | 2.78    
300    | 1.800  | 22257.04   | 22262.31   | 2.0132     | 0.0076     | 2.77    
400    | 1.733  | 21702.34   | 21706.39   | 1.7343     | 0.0076     | 2.65    
500    | 1.667  | 21304.07   | 21306.57   | 1.0316     | 0.0071     | 2.44    
600    | 1.600  | 21003.57   | 21004.58   | 1.1998     | 0.0068     | 2.29    
700    | 1.533  | 20742.75   | 20742.39   | 0.6454     | 0.0062     | 2.10    
800    | 1.467  | 20578.37   | 20576.89   | 1.5595     | 0.0056     | 1.89    
900    | 1.400  | 20448.22   | 20445.79   | 0.7448     | 0.0052     | 1.75    
1000   | 1.333  | 20348.37   | 20345.18   | 0.4284     | 0.0046     | 1.57    
1100   | 1.267  | 20211.95   | 20208.20   | 0.9762     | 0.0042     | 1.44    
1200   | 1.200  | 20011.65   | 20007.63   | 0.8730     | 0.0039     | 1.32    
1300   | 1.133  | 19876.94   | 19872.59   | 0.8833     | 0.0036     | 1.23    
1400   | 1.067  | 19757.04   | 19752.52   | 0.3160     | 0.0033     | 1.12    
1500   | 1.000  | 19690.49   | 19686.02   | 0.2708     | 0.0029     | 0.99    
1600   | 0.933  | 19640.97   | 19636.55   | 0.5735     | 0.0026     | 0.89    
1700   | 0.867  | 19615.53   | 19611.03   | 0.1935     | 0.0024     | 0.83    
1800   | 0.800  | 19558.82   | 19554.14   | 0.7533     | 0.0022     | 0.79    
1900   | 0.733  | 19522.04   | 19517.11   | 0.3816     | 0.0022     | 0.77    
2000   | 0.667  | 19486.54   | 19481.49   | 0.0901     | 0.0021     | 0.73    
2100   | 0.600  | 19465.44   | 19460.29   | 1.5733     | 0.0020     | 0.70    
2200   | 0.533  | 19410.96   | 19406.00   | 0.6462     | 0.0019     | 0.66    
2300   | 0.467  | 19354.29   | 19349.30   | 0.5028     | 0.0018     | 0.62    
2400   | 0.400  | 19229.03   | 19224.09   | 0.4896     | 0.0017     | 0.61    
2500   | 0.333  | 19182.10   | 19177.24   | 0.7566     | 0.0016     | 0.57    
2600   | 0.267  | 19128.64   | 19123.82   | 1.4460     | 0.0015     | 0.54    
2700   | 0.200  | 19066.93   | 19061.89   | 2.6332     | 0.0015     | 0.54    
2800   | 0.133  | 18986.40   | 18981.41   | 21.7375    | 0.0015     | 0.51    
2900   | 0.067  | 18933.72   | 18928.73   | 9.1387     | 0.0014     | 0.48    
2999   | 0.050  | 18853.41   | 18848.68   | 26.7800    | 0.0013     | 0.44    
