Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 7255.06    | 7348.88    | 0.1212     | 0.0469     | 57.73   
100    | 1.933  | 6921.09    | 6960.44    | 0.0987     | 0.0231     | 17.30   
200    | 1.867  | 6875.68    | 6896.29    | 0.0903     | 0.0153     | 10.52   
300    | 1.800  | 6831.55    | 6844.10    | 0.0907     | 0.0122     | 8.01    
400    | 1.733  | 6792.73    | 6800.56    | 0.1639     | 0.0106     | 6.78    
500    | 1.667  | 6753.23    | 6757.29    | 0.0791     | 0.0096     | 5.97    
600    | 1.600  | 6719.52    | 6720.39    | 0.3423     | 0.0087     | 5.34    
700    | 1.533  | 6625.23    | 6623.82    | 0.3669     | 0.0078     | 4.81    
800    | 1.467  | 6477.48    | 6474.37    | 0.6879     | 0.0074     | 4.54    
900    | 1.400  | 6339.52    | 6335.07    | 0.4981     | 0.0067     | 4.11    
1000   | 1.333  | 6241.73    | 6236.04    | 0.7267     | 0.0060     | 3.67    
1100   | 1.267  | 6119.44    | 6113.10    | 0.6361     | 0.0053     | 3.22    
1200   | 1.200  | 6031.83    | 6024.97    | 0.4577     | 0.0046     | 2.86    
1300   | 1.133  | 5963.24    | 5956.01    | 0.2307     | 0.0041     | 2.52    
1400   | 1.067  | 5928.35    | 5921.02    | 0.3482     | 0.0036     | 2.22    
1500   | 1.000  | 5888.51    | 5880.83    | 0.1585     | 0.0033     | 2.04    
1600   | 0.933  | 5860.49    | 5852.47    | 0.1030     | 0.0030     | 1.88    
1700   | 0.867  | 5827.54    | 5819.39    | 0.0871     | 0.0027     | 1.71    
1800   | 0.800  | 5821.02    | 5812.49    | 0.1235     | 0.0026     | 1.61    
1900   | 0.733  | 5805.05    | 5796.14    | 0.1002     | 0.0024     | 1.53    
2000   | 0.667  | 5765.63    | 5756.27    | 0.1378     | 0.0023     | 1.48    
2100   | 0.600  | 5752.26    | 5742.66    | 0.1017     | 0.0022     | 1.40    
2200   | 0.533  | 5733.73    | 5724.07    | 1.5937     | 0.0021     | 1.33    
2300   | 0.467  | 5723.82    | 5713.98    | 0.1345     | 0.0020     | 1.27    
2400   | 0.400  | 5691.58    | 5681.33    | 0.2482     | 0.0020     | 1.26    
2500   | 0.333  | 5631.35    | 5621.00    | 0.2965     | 0.0019     | 1.24    
2600   | 0.267  | 5599.71    | 5588.78    | 1.1661     | 0.0019     | 1.24    
2700   | 0.200  | 5569.81    | 5558.90    | 0.3873     | 0.0018     | 1.19    
2800   | 0.133  | 5549.89    | 5538.68    | 0.3248     | 0.0018     | 1.16    
2900   | 0.067  | 5534.69    | 5524.25    | 1.6918     | 0.0016     | 1.06    
2999   | 0.050  | 5520.05    | 5511.28    | 0.9903     | 0.0014     | 0.93    
