Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | 57034.43   | 57103.30   | 15.0462    | 0.0612     | 39.04   
100    | 1.933  | 21089.42   | 21099.37   | 10.2590    | 0.0105     | 4.65    
200    | 1.867  | 18587.92   | 18592.54   | 2.6556     | 0.0054     | 2.21    
300    | 1.800  | 17637.43   | 17641.84   | 2.3977     | 0.0060     | 2.24    
400    | 1.733  | 17004.23   | 17007.82   | 1.4400     | 0.0060     | 2.16    
500    | 1.667  | 16529.68   | 16532.24   | 1.2808     | 0.0060     | 2.08    
600    | 1.600  | 16201.76   | 16202.99   | 1.3093     | 0.0056     | 1.91    
700    | 1.533  | 15926.09   | 15926.24   | 1.4814     | 0.0052     | 1.75    
800    | 1.467  | 15730.27   | 15729.41   | 1.1185     | 0.0047     | 1.59    
900    | 1.400  | 15554.34   | 15552.75   | 0.7392     | 0.0041     | 1.41    
1000   | 1.333  | 15374.01   | 15372.05   | 0.4243     | 0.0036     | 1.22    
1100   | 1.267  | 15276.74   | 15274.28   | 0.5012     | 0.0033     | 1.11    
1200   | 1.200  | 15158.22   | 15155.50   | 1.0241     | 0.0029     | 1.00    
1300   | 1.133  | 15073.04   | 15070.29   | 0.3244     | 0.0025     | 0.88    
1400   | 1.067  | 15018.84   | 15015.89   | 0.8139     | 0.0023     | 0.80    
1500   | 1.000  | 14953.94   | 14950.88   | 0.1663     | 0.0021     | 0.73    
1600   | 0.933  | 14882.77   | 14879.46   | 0.2389     | 0.0021     | 0.71    
1700   | 0.867  | 14863.78   | 14860.18   | 0.6649     | 0.0020     | 0.69    
1800   | 0.800  | 14773.02   | 14769.49   | 0.2414     | 0.0018     | 0.64    
1900   | 0.733  | 14717.65   | 14713.93   | 0.1856     | 0.0018     | 0.62    
2000   | 0.667  | 14685.99   | 14682.33   | 0.5803     | 0.0016     | 0.57    
2100   | 0.600  | 14621.59   | 14617.89   | 0.3175     | 0.0015     | 0.54    
2200   | 0.533  | 14571.29   | 14567.50   | 0.6335     | 0.0015     | 0.52    
2300   | 0.467  | 14555.22   | 14551.22   | 0.8515     | 0.0014     | 0.51    
2400   | 0.400  | 14490.40   | 14486.24   | 3.1132     | 0.0014     | 0.50    
2500   | 0.333  | 14434.62   | 14430.21   | 2.7165     | 0.0014     | 0.49    
2600   | 0.267  | 14379.63   | 14375.19   | 6.7788     | 0.0013     | 0.47    
2700   | 0.200  | 14333.29   | 14328.77   | 14.5937    | 0.0013     | 0.45    
2800   | 0.133  | 14251.38   | 14247.44   | 11.1696    | 0.0012     | 0.40    
2900   | 0.067  | 14192.69   | 14188.89   | 46.1628    | 0.0011     | 0.37    
2999   | 0.050  | 14130.41   | 14126.90   | 21.5990    | 0.0010     | 0.33    
