Iter   | Tau    | Loss(Total) | Loss(QAP)  | Grad(Norm) | Vio(Binary) | Entropy 
--------------------------------------------------------------------------------
0      | 2.000  | -24.99     | 48.89      | 0.0175     | 0.0577     | 42.70   
100    | 1.933  | -23.38     | 37.15      | 0.0022     | 0.0525     | 31.85   
200    | 1.867  | -16.13     | 36.90      | 0.0028     | 0.0520     | 30.88   
300    | 1.800  | -10.08     | 35.91      | 0.0054     | 0.0496     | 28.17   
400    | 1.733  | -4.76      | 34.64      | 0.0071     | 0.0467     | 25.21   
500    | 1.667  | 0.63       | 33.27      | 0.0078     | 0.0434     | 22.59   
600    | 1.600  | 5.73       | 31.65      | 0.0081     | 0.0392     | 19.74   
700    | 1.533  | 10.57      | 29.77      | 0.0083     | 0.0340     | 16.70   
800    | 1.467  | 14.71      | 27.72      | 0.0072     | 0.0275     | 13.21   
900    | 1.400  | 17.88      | 25.79      | 0.0068     | 0.0208     | 9.77    
1000   | 1.333  | 19.98      | 24.07      | 0.0046     | 0.0144     | 6.65    
1100   | 1.267  | 21.23      | 22.92      | 0.0049     | 0.0095     | 4.31    
1200   | 1.200  | 21.82      | 22.27      | 0.0042     | 0.0064     | 2.83    
1300   | 1.133  | 22.25      | 22.00      | 0.0027     | 0.0046     | 2.05    
1400   | 1.067  | 22.55      | 21.84      | 0.0026     | 0.0035     | 1.54    
1500   | 1.000  | 22.73      | 21.75      | 0.0017     | 0.0026     | 1.13    
1600   | 0.933  | 22.91      | 21.71      | 0.0027     | 0.0022     | 0.93    
1700   | 0.867  | 23.12      | 21.67      | 0.0029     | 0.0019     | 0.80    
1800   | 0.800  | 23.19      | 21.64      | 0.0035     | 0.0015     | 0.66    
1900   | 0.733  | 23.23      | 21.64      | 0.0022     | 0.0013     | 0.55    
2000   | 0.667  | 23.30      | 21.61      | 0.0058     | 0.0011     | 0.50    
2100   | 0.600  | 23.30      | 21.59      | 0.0020     | 0.0010     | 0.44    
2200   | 0.533  | 23.10      | 21.53      | 0.0002     | 0.0009     | 0.38    
2300   | 0.467  | 22.97      | 21.51      | 0.0116     | 0.0008     | 0.35    
2400   | 0.400  | 22.76      | 21.48      | 0.0000     | 0.0007     | 0.32    
2500   | 0.333  | 22.35      | 21.45      | 0.0453     | 0.0005     | 0.27    
2600   | 0.267  | 22.17      | 21.42      | 0.0000     | 0.0005     | 0.24    
2700   | 0.200  | 22.24      | 21.42      | 0.0000     | 0.0005     | 0.24    
2800   | 0.133  | 22.29      | 21.41      | 0.0000     | 0.0005     | 0.24    
2900   | 0.067  | 22.32      | 21.38      | 0.0032     | 0.0005     | 0.24    
2999   | 0.050  | 22.37      | 21.35      | 0.0000     | 0.0005     | 0.24    
