instance, obj, time
bur26a, 5433010, 0.389697
bur26b, 3824838, 0.384471
bur26c, 5428683, 0.383498
bur26d, 3822201, 0.386689
bur26e, 5387817, 0.298042
bur26f, 3782693, 0.316517
bur26g, 10136466, 0.377844
bur26h, 7101614, 0.378085
chr12a, 10122, 0.199947
chr12b, 9742, 0.202074
chr12c, 12762, 0.199009
chr15a, 9978, 0.223413
chr15b, 8990, 0.200356
chr15c, 10118, 0.222852
chr18a, 12286, 0.237545
chr18b, 1588, 0.241171
chr20a, 2376, 0.251257
chr20b, 2718, 0.252680
chr20c, 14810, 0.175200
chr22a, 6916, 0.281290
chr22b, 7058, 0.276462
chr25a, 5174, 0.316047
els19, 21231692, 0.273484
esc128, 64, 3.882401
esc16a, 68, 0.248144
esc16b, 292, 0.233460
esc16c, 160, 0.232220
esc16d, 16, 0.221764
esc16e, 28, 0.224342
esc16f, 0, 0.023457
esc16g, 26, 0.207602
esc16h, 996, 0.229024
esc16i, 14, 0.202716
esc16j, 8, 0.120845
esc32a, 132, 0.379777
esc32b, 168, 0.325649
esc32c, 642, 0.399029
esc32d, 200, 0.389993
esc32e, 2, 0.361113
esc32g, 6, 0.339335
esc32h, 444, 0.405696
esc64a, 116, 1.103538
had12, 1664, 0.210091
had14, 2724, 0.227488
had16, 3728, 0.239865
had18, 5368, 0.266272
had20, 6926, 0.286657
kra30a, 88900, 0.449320
kra30b, 91990, 0.460350
kra32, 88700, 0.421900
lipa20a, 3771, 0.292376
lipa20b, 27076, 0.181577
lipa30a, 13411, 0.477226
lipa30b, 151426, 0.296129
lipa40a, 32006, 0.748096
lipa40b, 476581, 0.338707
lipa50a, 62901, 1.175159
lipa50b, 1210244, 0.506278
lipa60a, 108498, 1.699261
lipa60b, 2520135, 1.043978
lipa70a, 171520, 2.482978
lipa70b, 4603200, 1.505246
lipa80a, 255619, 4.060329
lipa80b, 7763962, 2.794699
lipa90a, 363666, 5.777857
lipa90b, 12490441, 2.940123
nug12, 578, 0.234585
nug14, 1020, 0.221005
nug15, 1150, 0.231558
nug16a, 1610, 0.237158
nug16b, 1240, 0.236879
nug17, 1732, 0.250526
nug18, 1930, 0.256037
nug20, 2570, 0.281559
nug21, 2438, 0.289638
nug22, 3596, 0.303249
nug24, 3488, 0.333614
nug25, 3748, 0.355610
nug27, 5236, 0.382553
nug28, 5178, 0.389832
nug30, 6148, 0.445103
rou12, 238134, 0.208102
rou15, 354210, 0.229659
rou20, 728298, 0.276479
scr12, 32696, 0.202978
scr15, 53248, 0.223822
scr20, 113002, 0.266830
sko100a, 152574, 5.340643
sko100b, 154356, 5.408634
sko100c, 147982, 5.297556
sko100d, 150220, 5.246732
sko100e, 149916, 5.372980
sko100f, 149676, 5.251289
sko42, 15850, 0.794657
sko49, 23464, 1.034894
sko56, 34600, 1.350515
sko64, 48650, 1.810258
sko72, 66504, 2.920003
sko81, 91276, 3.636036
sko90, 115724, 4.695391
ste36a, 9692, 0.603504
ste36b, 16284, 0.565099
ste36c, 8414104, 0.588176
tai100a, 21382008, 4.278292
tai100b, 1193523566, 5.179394
tai10a, 135828, 0.215403
tai10b, 1237486, 0.186866
tai12a, 224416, 0.207002
tai12b, 39574839, 0.200575
tai150b, 507020625, 13.217753
tai15a, 390258, 0.255870
tai15b, 51765268, 0.233897
tai17a, 498214, 0.248032
tai20a, 703482, 0.273773
tai20b, 134684123, 0.279439
tai256c, 45027916, 23.360558
tai25a, 1185574, 0.365308
tai25b, 346891008, 0.354823
tai30a, 1845440, 0.444150
tai30b, 646702854, 0.438073
tai35a, 2462086, 0.540099
tai35b, 284155801, 0.565850
tai40a, 3201330, 0.632566
tai40b, 657440370, 0.694143
tai50a, 5024442, 0.962980
tai50b, 461428028, 1.070896
tai60a, 7325340, 1.381120
tai60b, 611773529, 1.575403
tai64c, 1866980, 0.521760
tai80a, 13759684, 3.196799
tai80b, 827864903, 3.659439
tho150, 8156470, 13.038379
tho30, 150468, 0.461402
tho40, 241466, 0.701838
wil100, 273654, 5.498902
wil50, 48816, 1.123086
