instance, obj, time
bur26a, 5432238, 7.682369
bur26b, 3824977, 7.690805
bur26c, 5427492, 7.676569
bur26d, 3821882, 7.724659
bur26e, 5387166, 6.054117
bur26f, 3782226, 6.211889
bur26g, 10122020, 7.507918
bur26h, 7100622, 7.520930
chr12a, 9916, 4.061365
chr12b, 9742, 3.999252
chr12c, 11188, 4.013913
chr15a, 9896, 4.453070
chr15b, 8210, 4.137622
chr15c, 9940, 4.473493
chr18a, 11282, 4.868290
chr18b, 1538, 4.815298
chr20a, 2232, 5.072402
chr20b, 2472, 5.070408
chr20c, 14142, 3.415659
chr22a, 6806, 5.622111
chr22b, 6824, 5.489932
chr25a, 4166, 6.343799
els19, 20588196, 5.460240
esc128, 64, 92.608455
esc16a, 68, 4.613814
esc16b, 292, 4.759092
esc16c, 160, 4.681110
esc16d, 16, 4.520293
esc16e, 28, 4.492869
esc16f, 0, 0.473513
esc16g, 26, 4.091367
esc16h, 996, 4.656927
esc16i, 14, 4.060145
esc16j, 8, 2.495676
esc32a, 130, 7.719226
esc32b, 168, 6.270178
esc32c, 642, 8.018722
esc32d, 200, 7.759227
esc32e, 2, 7.127300
esc32g, 6, 6.887735
esc32h, 438, 8.083823
esc64a, 116, 22.370554
had12, 1660, 4.297740
had14, 2724, 4.577191
had16, 3722, 4.863406
had18, 5360, 5.333844
had20, 6926, 5.699513
kra30a, 88900, 9.090337
kra30b, 91420, 9.113781
kra32, 88700, 8.470466
lipa20a, 3683, 5.770769
lipa20b, 27076, 3.624509
lipa30a, 13316, 9.531331
lipa30b, 151426, 5.521141
lipa40a, 31970, 14.866477
lipa40b, 476581, 5.994871
lipa50a, 62841, 23.420074
lipa50b, 1210244, 9.711496
lipa60a, 108322, 33.956552
lipa60b, 2520135, 21.031860
lipa70a, 171436, 49.592600
lipa70b, 4603200, 29.402292
lipa80a, 255402, 92.941599
lipa80b, 7763962, 85.877150
lipa90a, 363448, 128.344614
lipa90b, 12490441, 70.282100
nug12, 578, 4.133436
nug14, 1014, 4.504713
nug15, 1150, 4.642007
nug16a, 1610, 4.827205
nug16b, 1240, 4.738955
nug17, 1732, 5.008720
nug18, 1930, 5.134320
nug20, 2570, 5.561305
nug21, 2438, 5.887142
nug22, 3596, 6.121687
nug24, 3488, 6.716600
nug25, 3748, 7.192052
nug27, 5234, 7.656849
nug28, 5166, 7.888198
nug30, 6124, 9.010093
rou12, 235528, 4.136876
rou15, 354210, 4.693454
rou20, 726100, 5.465230
scr12, 31410, 4.123958
scr15, 51140, 4.566480
scr20, 110030, 5.307811
sko100a, 152178, 133.752194
sko100b, 154268, 120.641780
sko100c, 147990, 155.264384
sko100d, 149996, 152.522050
sko100e, 149524, 186.430720
sko100f, 149326, 129.412052
sko42, 15818, 15.666138
sko49, 23408, 20.764115
sko56, 34478, 27.115291
sko64, 48532, 36.387696
sko72, 66316, 65.582503
sko81, 91142, 74.585315
sko90, 115734, 99.694257
ste36a, 9608, 11.752408
ste36b, 15948, 11.200282
ste36c, 8306660, 11.717446
tai100a, 21330014, 105.476219
tai100b, 1189058550, 109.748395
tai10a, 135028, 3.815942
tai10b, 1183760, 3.773535
tai12a, 224416, 4.139878
tai12b, 39464925, 4.075241
tai150b, 503362427, 310.680252
tai15a, 388250, 4.745857
tai15b, 51765268, 4.730577
tai17a, 491812, 4.995452
tai20a, 705622, 5.571122
tai20b, 134684123, 5.708406
tai256c, 44960266, 506.514174
tai25a, 1167256, 6.880346
tai25b, 345943727, 7.057918
tai30a, 1836504, 8.881238
tai30b, 642843306, 8.815015
tai35a, 2445812, 10.908098
tai35b, 283324096, 11.504782
tai40a, 3170010, 12.630482
tai40b, 637421134, 13.826139
tai50a, 5010814, 19.080227
tai50b, 461161591, 21.411620
tai60a, 7306936, 27.534559
tai60b, 609157982, 31.410128
tai64c, 1855928, 10.291742
tai80a, 13680070, 63.575386
tai80b, 819786703, 77.980318
tho150, 8154392, 278.885394
tho30, 149936, 8.829402
tho40, 240516, 14.007582
wil100, 273292, 129.881724
wil50, 48816, 21.984075
