instance, obj, time
bur26a, 5432729, 1.942583
bur26b, 3824838, 1.921103
bur26c, 5427844, 1.912974
bur26d, 3821950, 1.929313
bur26e, 5387379, 1.518634
bur26f, 3782693, 1.576986
bur26g, 10125168, 1.894935
bur26h, 7101614, 1.882348
chr12a, 9916, 0.998887
chr12b, 9742, 1.012243
chr12c, 11834, 0.992001
chr15a, 9978, 1.119614
chr15b, 8990, 1.002283
chr15c, 9504, 1.112752
chr18a, 12180, 1.197895
chr18b, 1534, 1.206143
chr20a, 2376, 1.253958
chr20b, 2638, 1.266356
chr20c, 14142, 0.867095
chr22a, 6756, 1.401922
chr22b, 7036, 1.379562
chr25a, 4812, 1.579491
els19, 21166580, 1.370026
esc128, 64, 19.186023
esc16a, 68, 1.139931
esc16b, 292, 1.175019
esc16c, 160, 1.161313
esc16d, 16, 1.116495
esc16e, 28, 1.122364
esc16f, 0, 0.116975
esc16g, 26, 1.026071
esc16h, 996, 1.153695
esc16i, 14, 0.987196
esc16j, 8, 0.613117
esc32a, 132, 1.898393
esc32b, 168, 1.626649
esc32c, 642, 1.997668
esc32d, 200, 1.946671
esc32e, 2, 1.801593
esc32g, 6, 1.714576
esc32h, 440, 2.027911
esc64a, 116, 5.515491
had12, 1658, 1.051161
had14, 2724, 1.137917
had16, 3726, 1.198917
had18, 5360, 1.337325
had20, 6926, 1.435385
kra30a, 88900, 2.251532
kra30b, 91580, 2.298446
kra32, 88700, 2.112319
lipa20a, 3768, 1.461818
lipa20b, 27076, 0.904875
lipa30a, 13361, 2.387322
lipa30b, 151426, 1.443658
lipa40a, 32006, 3.741688
lipa40b, 476581, 1.556996
lipa50a, 62881, 5.873842
lipa50b, 1210244, 2.461933
lipa60a, 108355, 8.489452
lipa60b, 2520135, 5.341528
lipa70a, 171351, 12.411686
lipa70b, 4603200, 7.266203
lipa80a, 255517, 20.238548
lipa80b, 7763962, 13.800242
lipa90a, 363666, 29.057990
lipa90b, 12490441, 15.622411
nug12, 578, 1.066644
nug14, 1016, 1.107198
nug15, 1150, 1.156812
nug16a, 1610, 1.187552
nug16b, 1240, 1.186402
nug17, 1732, 1.253391
nug18, 1930, 1.280951
nug20, 2570, 1.408633
nug21, 2438, 1.450849
nug22, 3596, 1.517169
nug24, 3488, 1.667474
nug25, 3748, 1.776562
nug27, 5234, 1.910109
nug28, 5166, 1.951340
nug30, 6124, 2.223587
rou12, 235528, 1.039632
rou15, 354210, 1.150971
rou20, 728298, 1.382314
scr12, 31410, 1.016378
scr15, 51140, 1.118707
scr20, 110216, 1.334807
sko100a, 152414, 26.619173
sko100b, 154356, 27.000865
sko100c, 147982, 27.716109
sko100d, 150220, 26.450428
sko100e, 149796, 26.585474
sko100f, 149578, 26.415407
sko42, 15818, 3.904626
sko49, 23424, 5.178358
sko56, 34490, 6.761497
sko64, 48602, 9.056299
sko72, 66398, 14.621775
sko81, 91132, 18.026407
sko90, 115724, 23.371081
ste36a, 9634, 2.940398
ste36b, 15970, 2.820734
ste36c, 8254628, 2.941140
tai100a, 21382008, 21.271738
tai100b, 1193523566, 26.142449
tai10a, 135602, 0.968263
tai10b, 1237486, 0.934815
tai12a, 224416, 1.036400
tai12b, 39464925, 1.003443
tai150b, 504522407, 66.254950
tai15a, 388250, 1.175009
tai15b, 51765268, 1.168919
tai17a, 496906, 1.241882
tai20a, 703482, 1.372884
tai20b, 134684123, 1.398206
tai256c, 44999102, 120.174378
tai25a, 1180646, 1.732231
tai25b, 346891008, 1.773214
tai30a, 1836222, 2.221443
tai30b, 646653231, 2.194319
tai35a, 2454608, 2.702367
tai35b, 283565680, 2.828178
tai40a, 3177210, 3.155422
tai40b, 637344728, 3.449723
tai50a, 5010880, 4.817935
tai50b, 461428028, 5.352744
tai60a, 7325340, 6.893378
tai60b, 609107911, 7.877177
tai64c, 1857646, 2.593886
tai80a, 13691612, 16.032850
tai80b, 822123940, 18.429953
tho150, 8156470, 65.309442
tho30, 149936, 2.213810
tho40, 240620, 3.506962
wil100, 273604, 27.486433
wil50, 48816, 5.540044
