instance, obj, time
bur26a, 5436047, 0.004314
bur26b, 3829589, 0.003941
bur26c, 5432680, 0.003897
bur26d, 3822963, 0.003917
bur26e, 5397943, 0.003839
bur26f, 3784302, 0.001279
bur26g, 10143307, 0.003770
bur26h, 7119981, 0.003810
chr12a, 33042, 0.002139
chr12b, 10468, 0.002052
chr12c, 13072, 0.002028
chr15a, 12112, 0.002296
chr15b, 9112, 0.000683
chr15c, 11936, 0.002262
chr18a, 15440, 0.002460
chr18b, 2292, 0.002453
chr20a, 3274, 0.002688
chr20b, 3068, 0.002629
chr20c, 19836, 0.001246
chr22a, 8822, 0.002823
chr22b, 8552, 0.002788
chr25a, 6672, 0.003244
els19, 21297242, 0.002819
esc128, 72, 0.032416
esc16a, 70, 0.005288
esc16b, 320, 0.000191
esc16c, 168, 0.002398
esc16d, 62, 0.000201
esc16e, 30, 0.002305
esc16f, 0, 0.000260
esc16g, 30, 0.002316
esc16h, 1518, 0.000198
esc16i, 14, 0.002246
esc16j, 8, 0.001065
esc32a, 160, 0.003890
esc32b, 196, 0.003783
esc32c, 650, 0.004133
esc32d, 218, 0.003940
esc32e, 2, 0.003591
esc32g, 10, 0.003624
esc32h, 472, 0.004142
esc64a, 116, 0.011276
had12, 1680, 0.002189
had14, 2732, 0.002360
had16, 3736, 0.002531
had18, 5466, 0.002740
had20, 6984, 0.002947
kra30a, 96760, 0.004654
kra30b, 92120, 0.004556
kra32, 97060, 0.004311
lipa20a, 3819, 0.002951
lipa20b, 27076, 0.000843
lipa30a, 13524, 0.004926
lipa30b, 151426, 0.001099
lipa40a, 32115, 0.007357
lipa40b, 476581, 0.001033
lipa50a, 63103, 0.011919
lipa50b, 1210244, 0.001548
lipa60a, 108732, 0.017046
lipa60b, 2520135, 0.002589
lipa70a, 171639, 0.024960
lipa70b, 4603200, 0.003747
lipa80a, 255946, 0.038708
lipa80b, 9362845, 0.031467
lipa90a, 363934, 0.056840
lipa90b, 12490441, 0.005899
nug12, 594, 0.003128
nug14, 1100, 0.002328
nug15, 1172, 0.002388
nug16a, 1660, 0.002495
nug16b, 1292, 0.002438
nug17, 1744, 0.002561
nug18, 2000, 0.002690
nug20, 2596, 0.002851
nug21, 2530, 0.002957
nug22, 3676, 0.003130
nug24, 3520, 0.003403
nug25, 3858, 0.003719
nug27, 5440, 0.003944
nug28, 5356, 0.004073
nug30, 6264, 0.004535
rou12, 245168, 0.002196
rou15, 371458, 0.002343
rou20, 743884, 0.002851
scr12, 40742, 0.002115
scr15, 60760, 0.002302
scr20, 156338, 0.002777
sko100a, 153398, 0.052367
sko100b, 155132, 0.052302
sko100c, 149426, 0.051991
sko100d, 151582, 0.061998
sko100e, 150936, 0.062395
sko100f, 151050, 0.061367
sko42, 15956, 0.013817
sko49, 23792, 0.010320
sko56, 35092, 0.013677
sko64, 48942, 0.018290
sko72, 67886, 0.027873
sko81, 91984, 0.034923
sko90, 117616, 0.047156
ste36a, 10412, 0.007883
ste36b, 18618, 0.005764
ste36c, 8598244, 0.005881
tai100a, 21513352, 0.041319
tai100b, 1249810664, 0.055009
tai10a, 157954, 0.002909
tai10b, 1386733, 0.001918
tai12a, 244672, 0.002103
tai12b, 49891525, 0.002069
tai150b, 511521308, 0.133115
tai15a, 397376, 0.005646
tai15b, 52133496, 0.002409
tai17a, 529134, 0.002600
tai20a, 736140, 0.002841
tai20b, 139297727, 0.002938
tai256c, 98685678, 0.008374
tai25a, 1219484, 0.004885
tai25b, 368570558, 0.003590
tai30a, 1894640, 0.004482
tai30b, 714829281, 0.004459
tai35a, 2514002, 0.005660
tai35b, 305641769, 0.005663
tai40a, 3225948, 0.006402
tai40b, 702232336, 0.006889
tai50a, 5131992, 0.009651
tai50b, 476748706, 0.010536
tai60a, 7443894, 0.013925
tai60b, 647364605, 0.015515
tai64c, 5893540, 0.000522
tai80a, 13861842, 0.030579
tai80b, 850424272, 0.046852
tho150, 8225150, 0.132871
tho30, 153328, 0.005994
tho40, 244686, 0.007068
wil100, 275454, 0.053543
wil50, 48950, 0.014073
