Iter     | SoftCost     | RealCost     | Vio(Bin)     | Grad|Z|     
0        | 5645.30      | 5910.00      | 0.0520       | 0.0655      
100      | 5415.91      | 6038.00      | 0.0420       | 0.0703      
200      | 5349.90      | 6096.00      | 0.0338       | 0.0488      
300      | 5314.13      | 5978.00      | 0.0269       | 0.0453      
400      | 5282.21      | 6116.00      | 0.0222       | 0.0417      
500      | 5246.58      | 6028.00      | 0.0190       | 0.0411      
600      | 5215.80      | 6028.00      | 0.0166       | 0.0384      
700      | 5186.03      | 6016.00      | 0.0152       | 0.0318      
800      | 5179.01      | 6048.00      | 0.0140       | 0.0275      
900      | 5174.83      | 5938.00      | 0.0131       | 0.0393      
1000     | 5173.10      | 5938.00      | 0.0125       | 0.0361      
1100     | 5147.61      | 6052.00      | 0.0118       | 0.0207      
1200     | 5141.19      | 5988.00      | 0.0115       | 0.0282      
1300     | 5140.94      | 5988.00      | 0.0111       | 0.0315      
1400     | 5121.78      | 6040.00      | 0.0108       | 0.0287      
1500     | 5115.51      | 6116.00      | 0.0106       | 0.0294      
1600     | 5092.26      | 5986.00      | 0.0104       | 0.0126      
1700     | 5091.83      | 5986.00      | 0.0102       | 0.0144      
1800     | 5091.74      | 5986.00      | 0.0100       | 0.0150      
1900     | 4378.37      | 6050.00      | 0.0099       | 0.0257      
2000     | 4352.90      | 6050.00      | 0.0097       | 0.0541      
2100     | 4305.15      | 5910.00      | 0.0095       | 0.0247      
2200     | 4292.55      | 5846.00      | 0.0094       | 0.3457      
2300     | 4291.21      | 5846.00      | 0.0093       | 0.0198      
2400     | 4291.44      | 5898.00      | 0.0092       | 0.0119      
2500     | 4289.83      | 5994.00      | 0.0092       | 0.0400      
2600     | 4288.07      | 5898.00      | 0.0091       | 0.0573      
2700     | 4231.75      | 5956.00      | 0.0090       | 0.2824      
2800     | 3947.55      | 5938.00      | 0.0090       | 0.0305      
2900     | 3935.81      | 5938.00      | 0.0088       | 0.0255      
2999     | 3933.03      | 5938.00      | 0.0087       | 0.0412      
