Iter     | SoftCost     | RealCost     | Vio(Bin)     | Grad|Z|     
0        | 99978.80     | 133724.00    | 0.0471       | 10.0960     
100      | 60715.11     | 93088.00     | 0.0369       | 20.1904     
200      | 42691.34     | 96436.00     | 0.0256       | 13.8361     
300      | 34393.85     | 102336.00    | 0.0162       | 8.1755      
400      | 32675.36     | 102336.00    | 0.0104       | 4.1779      
500      | 31882.61     | 112388.00    | 0.0074       | 2.6942      
600      | 31486.86     | 88772.00     | 0.0064       | 2.3936      
700      | 29944.53     | 111612.00    | 0.0061       | 2.5284      
800      | 29515.99     | 104544.00    | 0.0061       | 2.0038      
900      | 28824.99     | 85626.00     | 0.0060       | 1.3439      
1000     | 27748.32     | 127584.00    | 0.0061       | 1.3377      
1100     | 27060.11     | 113052.00    | 0.0061       | 1.7917      
1200     | 27012.16     | 120158.00    | 0.0060       | 1.0530      
1300     | 26814.54     | 120158.00    | 0.0060       | 2.2097      
1400     | 26806.57     | 120158.00    | 0.0060       | 0.7874      
1500     | 26777.70     | 120158.00    | 0.0059       | 1.3176      
1600     | 26426.75     | 128174.00    | 0.0059       | 0.6179      
1700     | 26420.64     | 128174.00    | 0.0059       | 1.0329      
1800     | 26418.71     | 128174.00    | 0.0060       | 0.7704      
1900     | 25005.14     | 82874.00     | 0.0060       | 1.4039      
2000     | 21265.84     | 90198.00     | 0.0060       | 0.8619      
2100     | 21255.55     | 90198.00     | 0.0061       | 1.0821      
2200     | 20688.00     | 90198.00     | 0.0061       | 1.1308      
2300     | 20672.46     | 90198.00     | 0.0061       | 0.6325      
2400     | 19931.86     | 90166.00     | 0.0060       | 0.5910      
2500     | 18487.36     | 90166.00     | 0.0060       | 1.6046      
2600     | 18446.94     | 103120.00    | 0.0060       | 14.6934     
2700     | 15449.16     | 127542.00    | 0.0060       | 0.7029      
2800     | 15448.15     | 131566.00    | 0.0060       | 0.6633      
2900     | 15437.46     | 131040.00    | 0.0060       | 0.2640      
2999     | 15032.60     | 99390.00     | 0.0060       | 1.3689      
