Instance,Seed,Method,Iter,Time,Obj,Gap
nug12,0,PGD,1,0.5049474239349365,816.0,41.17647058823529
nug12,0,PGD,10,0.5105066299438477,790.0,36.67820069204152
nug12,0,SK,1,0.6883485317230225,816.0,41.17647058823529
nug12,0,SK,10,0.7870774269104004,858.0,48.44290657439446
nug12,1,PGD,1,0.0012843608856201172,816.0,41.17647058823529
nug12,1,PGD,10,0.00656890869140625,790.0,36.67820069204152
nug12,1,SK,1,0.01979994773864746,816.0,41.17647058823529
nug12,1,SK,10,0.17180538177490234,858.0,48.44290657439446
nug12,2,PGD,1,0.0009648799896240234,816.0,41.17647058823529
nug12,2,PGD,10,0.005887746810913086,790.0,36.67820069204152
nug12,2,SK,1,0.013390302658081055,816.0,41.17647058823529
nug12,2,SK,10,0.12204957008361816,858.0,48.44290657439446
nug12,3,PGD,1,0.0011010169982910156,816.0,41.17647058823529
nug12,3,PGD,10,0.0063228607177734375,790.0,36.67820069204152
nug12,3,SK,1,0.01537179946899414,816.0,41.17647058823529
nug12,3,SK,10,0.13498163223266602,858.0,48.44290657439446
nug12,4,PGD,1,0.0010437965393066406,816.0,41.17647058823529
nug12,4,PGD,10,0.006113290786743164,790.0,36.67820069204152
nug12,4,SK,1,0.02240586280822754,816.0,41.17647058823529
nug12,4,SK,10,0.13905739784240723,858.0,48.44290657439446
had12,0,PGD,1,0.0009968280792236328,1960.0,18.64406779661017
had12,0,PGD,10,0.0063018798828125,1942.0,17.5544794188862
had12,0,SK,1,0.020218610763549805,1960.0,18.64406779661017
had12,0,SK,10,0.13356590270996094,1778.0,7.627118644067797
had12,1,PGD,1,0.0009515285491943359,1960.0,18.64406779661017
had12,1,PGD,10,0.005861043930053711,1942.0,17.5544794188862
had12,1,SK,1,0.013589143753051758,1960.0,18.64406779661017
had12,1,SK,10,0.11367940902709961,1778.0,7.627118644067797
had12,2,PGD,1,0.0010750293731689453,1960.0,18.64406779661017
had12,2,PGD,10,0.006228923797607422,1942.0,17.5544794188862
had12,2,SK,1,0.016133785247802734,1960.0,18.64406779661017
had12,2,SK,10,0.11777138710021973,1778.0,7.627118644067797
had12,3,PGD,1,0.0009875297546386719,1960.0,18.64406779661017
had12,3,PGD,10,0.005957603454589844,1942.0,17.5544794188862
had12,3,SK,1,0.02021479606628418,1960.0,18.64406779661017
had12,3,SK,10,0.153062105178833,1778.0,7.627118644067797
had12,4,PGD,1,0.000946044921875,1960.0,18.64406779661017
had12,4,PGD,10,0.005896329879760742,1942.0,17.5544794188862
had12,4,SK,1,0.01973700523376465,1960.0,18.64406779661017
had12,4,SK,10,0.12146377563476562,1778.0,7.627118644067797
nug20,0,PGD,1,0.006602764129638672,3424.0,33.22957198443579
nug20,0,PGD,10,0.017206668853759766,3476.0,35.252918287937746
nug20,0,SK,1,0.0387418270111084,3380.0,31.517509727626457
nug20,0,SK,10,0.1396012306213379,3098.0,20.54474708171206
nug20,1,PGD,1,0.0021016597747802734,3424.0,33.22957198443579
nug20,1,PGD,10,0.009098052978515625,3476.0,35.252918287937746
nug20,1,SK,1,0.015779733657836914,3380.0,31.517509727626457
nug20,1,SK,10,0.1258101463317871,3098.0,20.54474708171206
nug20,2,PGD,1,0.0013451576232910156,3424.0,33.22957198443579
nug20,2,PGD,10,0.008379459381103516,3476.0,35.252918287937746
nug20,2,SK,1,0.02109074592590332,3380.0,31.517509727626457
nug20,2,SK,10,0.12619948387145996,3098.0,20.54474708171206
nug20,3,PGD,1,0.0012562274932861328,3424.0,33.22957198443579
nug20,3,PGD,10,0.008290529251098633,3476.0,35.252918287937746
nug20,3,SK,1,0.013894081115722656,3380.0,31.517509727626457
nug20,3,SK,10,0.12487268447875977,3098.0,20.54474708171206
nug20,4,PGD,1,0.0013208389282226562,3424.0,33.22957198443579
nug20,4,PGD,10,0.008311986923217773,3476.0,35.252918287937746
nug20,4,SK,1,0.015577077865600586,3380.0,31.517509727626457
nug20,4,SK,10,0.12953901290893555,3098.0,20.54474708171206
nug30,0,PGD,1,0.007119894027709961,8106.0,32.36446766819073
nug30,0,PGD,15,0.01951313018798828,8100.0,32.26649248856957
nug30,0,SK,1,0.01939105987548828,8302.0,35.564990202482036
nug30,0,SK,15,0.17890262603759766,7820.0,27.694317439581972
nug30,1,PGD,1,0.0013544559478759766,8106.0,32.36446766819073
nug30,1,PGD,15,0.012986421585083008,8100.0,32.26649248856957
nug30,1,SK,1,0.0164337158203125,8302.0,35.564990202482036
nug30,1,SK,15,0.18750357627868652,7820.0,27.694317439581972
nug30,2,PGD,1,0.0022361278533935547,8106.0,32.36446766819073
nug30,2,PGD,15,0.013782501220703125,8100.0,32.26649248856957
nug30,2,SK,1,0.01718592643737793,8302.0,35.564990202482036
nug30,2,SK,15,0.1907486915588379,7820.0,27.694317439581972
nug30,3,PGD,1,0.0013537406921386719,8106.0,32.36446766819073
nug30,3,PGD,15,0.012040853500366211,8100.0,32.26649248856957
nug30,3,SK,1,0.015434503555297852,8302.0,35.564990202482036
nug30,3,SK,15,0.1789848804473877,7820.0,27.694317439581972
nug30,4,PGD,1,0.002228260040283203,8106.0,32.36446766819073
nug30,4,PGD,15,0.013804435729980469,8100.0,32.26649248856957
nug30,4,SK,1,0.02462935447692871,8302.0,35.564990202482036
nug30,4,SK,15,0.18561363220214844,7820.0,27.694317439581972
kra30a,0,PGD,1,0.0023119449615478516,139330.0,56.726659167604055
kra30a,0,PGD,15,0.01390695571899414,137560.0,54.73565804274466
kra30a,0,SK,1,0.01741194725036621,141370.0,59.021372328458945
kra30a,0,SK,15,0.19071555137634277,120890.0,35.98425196850394
kra30a,1,PGD,1,0.0013418197631835938,139330.0,56.726659167604055
kra30a,1,PGD,15,0.011973142623901367,137560.0,54.73565804274466
kra30a,1,SK,1,0.014314651489257812,141370.0,59.021372328458945
kra30a,1,SK,15,0.1771697998046875,120890.0,35.98425196850394
kra30a,2,PGD,1,0.0013022422790527344,139330.0,56.726659167604055
kra30a,2,PGD,15,0.011960268020629883,137560.0,54.73565804274466
kra30a,2,SK,1,0.015056848526000977,141370.0,59.021372328458945
kra30a,2,SK,15,0.21246910095214844,120890.0,35.98425196850394
kra30a,3,PGD,1,0.001397848129272461,139330.0,56.726659167604055
kra30a,3,PGD,15,0.012041330337524414,137560.0,54.73565804274466
kra30a,3,SK,1,0.014522790908813477,141370.0,59.021372328458945
kra30a,3,SK,15,0.17424321174621582,120890.0,35.98425196850394
kra30a,4,PGD,1,0.0013136863708496094,139330.0,56.726659167604055
kra30a,4,PGD,15,0.012048482894897461,137560.0,54.73565804274466
kra30a,4,SK,1,0.023231983184814453,141370.0,59.021372328458945
kra30a,4,SK,15,0.19019722938537598,120890.0,35.98425196850394
tho30,0,PGD,1,0.0025360584259033203,208172.0,38.84057197737702
tho30,0,PGD,15,0.014415979385375977,225222.0,50.21209049194323
tho30,0,SK,1,0.018152952194213867,217608.0,45.13392380749119
tho30,0,SK,15,0.180711030960083,198320.0,32.26976843453207
tho30,1,PGD,1,0.0013587474822998047,208172.0,38.84057197737702
tho30,1,PGD,15,0.011738061904907227,225222.0,50.21209049194323
tho30,1,SK,1,0.015274524688720703,217608.0,45.13392380749119
tho30,1,SK,15,0.17415761947631836,198320.0,32.26976843453207
tho30,2,PGD,1,0.001338958740234375,208172.0,38.84057197737702
tho30,2,PGD,15,0.011667013168334961,225222.0,50.21209049194323
tho30,2,SK,1,0.0177156925201416,217608.0,45.13392380749119
tho30,2,SK,15,0.18366456031799316,198320.0,32.26976843453207
tho30,3,PGD,1,0.0014834403991699219,208172.0,38.84057197737702
tho30,3,PGD,15,0.011890888214111328,225222.0,50.21209049194323
tho30,3,SK,1,0.02254462242126465,217608.0,45.13392380749119
tho30,3,SK,15,0.253023624420166,198320.0,32.26976843453207
tho30,4,PGD,1,0.001369476318359375,208172.0,38.84057197737702
tho30,4,PGD,15,0.011725664138793945,225222.0,50.21209049194323
tho30,4,SK,1,0.014250755310058594,217608.0,45.13392380749119
tho30,4,SK,15,0.17576169967651367,198320.0,32.26976843453207
tai40b,0,PGD,1,0.0042111873626708984,1159193216.0,81.90529486666217
tai40b,0,PGD,15,0.02361774444580078,1035195520.0,62.4470741469968
tai40b,0,SK,1,0.02370929718017578,1064570688.0,67.05674449620435
tai40b,0,SK,15,0.31786227226257324,984937216.0,54.56033750772858
tai40b,1,PGD,1,0.0022978782653808594,1159193216.0,81.90529486666217
tai40b,1,PGD,15,0.021741867065429688,1035195520.0,62.4470741469968
tai40b,1,SK,1,0.022077560424804688,1064570688.0,67.05674449620435
tai40b,1,SK,15,0.315626859664917,984937216.0,54.56033750772858
tai40b,2,PGD,1,0.0022830963134765625,1159193216.0,81.90529486666217
tai40b,2,PGD,15,0.02333378791809082,1035195520.0,62.4470741469968
tai40b,2,SK,1,0.023915529251098633,1064570688.0,67.05674449620435
tai40b,2,SK,15,0.3179893493652344,984937216.0,54.56033750772858
tai40b,3,PGD,1,0.0022726058959960938,1159193216.0,81.90529486666217
tai40b,3,PGD,15,0.02166271209716797,1035195520.0,62.4470741469968
tai40b,3,SK,1,0.022516489028930664,1064570688.0,67.05674449620435
tai40b,3,SK,15,0.31167101860046387,984937216.0,54.56033750772858
tai40b,4,PGD,1,0.0022721290588378906,1159193216.0,81.90529486666217
tai40b,4,PGD,15,0.021693944931030273,1035195520.0,62.4470741469968
tai40b,4,SK,1,0.022502422332763672,1064570688.0,67.05674449620435
tai40b,4,SK,15,0.31394219398498535,984937216.0,54.56033750772858
tai50b,0,PGD,1,0.005037069320678711,786045184.0,71.31829150898344
tai50b,0,PGD,15,0.03780078887939453,735841664.0,60.376450697276255
tai50b,0,SK,1,0.03190946578979492,738363264.0,60.92603259493604
tai50b,0,SK,15,0.45208287239074707,592834304.0,29.208043222611114
tai50b,1,PGD,1,0.0033769607543945312,786045184.0,71.31829150898344
tai50b,1,PGD,15,0.03162121772766113,735841664.0,60.376450697276255
tai50b,1,SK,1,0.03527665138244629,738363264.0,60.92603259493604
tai50b,1,SK,15,0.45560455322265625,592834304.0,29.208043222611114
tai50b,2,PGD,1,0.0033631324768066406,786045184.0,71.31829150898344
tai50b,2,PGD,15,0.03163409233093262,735841664.0,60.376450697276255
tai50b,2,SK,1,0.03187227249145508,738363264.0,60.92603259493604
tai50b,2,SK,15,0.4521145820617676,592834304.0,29.208043222611114
tai50b,3,PGD,1,0.003358125686645508,786045184.0,71.31829150898344
tai50b,3,PGD,15,0.03160548210144043,735841664.0,60.376450697276255
tai50b,3,SK,1,0.03188967704772949,738363264.0,60.92603259493604
tai50b,3,SK,15,0.4521656036376953,592834304.0,29.208043222611114
tai50b,4,PGD,1,0.003396749496459961,786045184.0,71.31829150898344
tai50b,4,PGD,15,0.031618356704711914,735841664.0,60.376450697276255
tai50b,4,SK,1,0.03183889389038086,738363264.0,60.92603259493604
tai50b,4,SK,15,0.45200347900390625,592834304.0,29.208043222611114
tai60b,0,PGD,1,0.023640871047973633,993186496.0,63.295283381788835
tai60b,0,PGD,20,0.057825326919555664,821316608.0,35.03720478447743
tai60b,0,SK,1,0.03834724426269531,1015134592.0,66.90389120161436
tai60b,0,SK,20,0.4725687503814697,836475712.0,37.52959689156263
tai60b,1,PGD,1,0.009123563766479492,993186496.0,63.295283381788835
tai60b,1,PGD,20,0.04328203201293945,821316608.0,35.03720478447743
tai60b,1,SK,1,0.031174898147583008,1015134592.0,66.90389120161436
tai60b,1,SK,20,0.46254730224609375,836475712.0,37.52959689156263
tai60b,2,PGD,1,0.007287263870239258,993186496.0,63.295283381788835
tai60b,2,PGD,20,0.03967881202697754,821316608.0,35.03720478447743
tai60b,2,SK,1,0.029727697372436523,1015134592.0,66.90389120161436
tai60b,2,SK,20,0.4612722396850586,836475712.0,37.52959689156263
tai60b,3,PGD,1,0.007375240325927734,993186496.0,63.295283381788835
tai60b,3,PGD,20,0.03978562355041504,821316608.0,35.03720478447743
tai60b,3,SK,1,0.028858184814453125,1015134592.0,66.90389120161436
tai60b,3,SK,20,0.4613227844238281,836475712.0,37.52959689156263
tai60b,4,PGD,1,0.007458209991455078,993186496.0,63.295283381788835
tai60b,4,PGD,20,0.04173922538757324,821316608.0,35.03720478447743
tai60b,4,SK,1,0.03227543830871582,1015134592.0,66.90389120161436
tai60b,4,SK,20,0.4645812511444092,836475712.0,37.52959689156263
tai80b,0,PGD,1,0.011479377746582031,1174461696.0,43.50441210059723
tai80b,0,PGD,20,0.037102699279785156,1161253120.0,41.890490641922376
tai80b,0,PGD,25,0.04934430122375488,1127864448.0,37.81081587475171
tai80b,0,SK,1,0.027843713760375977,1168902016.0,42.82508929885347
tai80b,0,SK,20,0.31627583503723145,1095718144.0,33.88294281389449
tai80b,0,SK,25,0.39784860610961914,1086773632.0,32.79003621637976
tai80b,1,PGD,1,0.008575439453125,1174461696.0,43.50441210059723
tai80b,1,PGD,20,0.03422188758850098,1161253120.0,41.890490641922376
tai80b,1,PGD,25,0.04646563529968262,1127864448.0,37.81081587475171
tai80b,1,SK,1,0.029440879821777344,1168902016.0,42.82508929885347
tai80b,1,SK,20,0.3236510753631592,1095718144.0,33.88294281389449
tai80b,1,SK,25,0.4057164192199707,1086773632.0,32.79003621637976
tai80b,2,PGD,1,0.008740901947021484,1174461696.0,43.50441210059723
tai80b,2,PGD,20,0.03444719314575195,1161253120.0,41.890490641922376
tai80b,2,PGD,25,0.0467839241027832,1127864448.0,37.81081587475171
tai80b,2,SK,1,0.03423738479614258,1168902016.0,42.82508929885347
tai80b,2,SK,20,0.32372307777404785,1095718144.0,33.88294281389449
tai80b,2,SK,25,0.40525007247924805,1086773632.0,32.79003621637976
tai80b,3,PGD,1,0.008533477783203125,1174461696.0,43.50441210059723
tai80b,3,PGD,20,0.03409719467163086,1161253120.0,41.890490641922376
tai80b,3,PGD,25,0.046293020248413086,1127864448.0,37.81081587475171
tai80b,3,SK,1,0.02841472625732422,1168902016.0,42.82508929885347
tai80b,3,SK,20,0.31745457649230957,1095718144.0,33.88294281389449
tai80b,3,SK,25,0.3989222049713135,1086773632.0,32.79003621637976
tai80b,4,PGD,1,0.008510828018188477,1174461696.0,43.50441210059723
tai80b,4,PGD,20,0.03409457206726074,1161253120.0,41.890490641922376
tai80b,4,PGD,25,0.04628181457519531,1127864448.0,37.81081587475171
tai80b,4,SK,1,0.02405571937561035,1168902016.0,42.82508929885347
tai80b,4,SK,20,0.311920166015625,1095718144.0,33.88294281389449
tai80b,4,SK,25,0.39344096183776855,1086773632.0,32.79003621637976
tho150,0,PGD,1,0.019210100173950195,9912132.0,21.86950644736677
tho150,0,PGD,20,0.10323524475097656,9486190.0,16.632556282134477
tho150,0,PGD,25,0.14049816131591797,9432158.0,15.968233695191111
tho150,0,SK,1,0.06926846504211426,9941224.0,22.22719212806259
tho150,0,SK,20,1.0432863235473633,9309608.0,14.461483380009192
tho150,0,SK,25,1.3112592697143555,9281394.0,14.114592695451519
tho150,1,PGD,1,0.018997669219970703,9912132.0,21.86950644736677
tho150,1,PGD,20,0.102935791015625,9486190.0,16.632556282134477
tho150,1,PGD,25,0.13971662521362305,9432158.0,15.968233695191111
tho150,1,SK,1,0.06643199920654297,9941224.0,22.22719212806259
tho150,1,SK,20,1.0398650169372559,9309608.0,14.461483380009192
tho150,1,SK,25,1.307593584060669,9281394.0,14.114592695451519
tho150,2,PGD,1,0.01905965805053711,9912132.0,21.86950644736677
tho150,2,PGD,20,0.10306644439697266,9486190.0,16.632556282134477
tho150,2,PGD,25,0.1399095058441162,9432158.0,15.968233695191111
tho150,2,SK,1,0.06650638580322266,9941224.0,22.22719212806259
tho150,2,SK,20,1.040043830871582,9309608.0,14.461483380009192
tho150,2,SK,25,1.307736873626709,9281394.0,14.114592695451519
tho150,3,PGD,1,0.02347397804260254,9912132.0,21.86950644736677
tho150,3,PGD,20,0.10754513740539551,9486190.0,16.632556282134477
tho150,3,PGD,25,0.14449357986450195,9432158.0,15.968233695191111
tho150,3,SK,1,0.06653666496276855,9941224.0,22.22719212806259
tho150,3,SK,20,1.0400974750518799,9309608.0,14.461483380009192
tho150,3,SK,25,1.3078067302703857,9281394.0,14.114592695451519
tho150,4,PGD,1,0.01908087730407715,9912132.0,21.86950644736677
tho150,4,PGD,20,0.1030881404876709,9486190.0,16.632556282134477
tho150,4,PGD,25,0.13997411727905273,9432158.0,15.968233695191111
tho150,4,SK,1,0.06649494171142578,9941224.0,22.22719212806259
tho150,4,SK,20,1.0403294563293457,9309608.0,14.461483380009192
tho150,4,SK,25,1.3081333637237549,9281394.0,14.114592695451519
