# Time(s) ObjectiveValue
0.000286 63936.000000
0.000371 51348.000000
0.000468 35730.000000
0.000572 17434.000000
0.000638 16684.000000
0.000701 15998.000000
0.000761 15416.000000
0.000820 14976.000000
0.000880 14484.000000
0.000939 14154.000000
0.000998 13922.000000
0.001058 13764.000000
0.001120 13572.000000
0.001178 13460.000000
0.001246 13366.000000
0.001308 13276.000000
0.001365 13224.000000
0.001421 13098.000000
0.001479 13060.000000
0.001534 13044.000000
0.001592 13042.000000
0.003605 12966.000000
0.003668 12936.000000
0.003725 12916.000000
0.003780 12898.000000
0.003836 12750.000000
0.003893 12742.000000
0.003950 12740.000000
0.028526 12712.000000
0.028550 12704.000000
0.069091 12654.000000
0.069115 12628.000000
0.069135 12618.000000
0.071910 12532.000000
0.071932 12416.000000
0.071953 12368.000000
0.071974 12338.000000
0.072306 12330.000000
0.073566 12218.000000
0.073588 12138.000000
0.074445 12106.000000
0.074467 12076.000000
0.074486 12074.000000
0.082483 12072.000000
0.253357 8056.000000
0.253384 7196.000000
0.253406 6386.000000
0.253427 5874.000000
0.253448 5362.000000
0.253469 4854.000000
0.253491 4456.000000
0.253512 4244.000000
0.253533 4132.000000
0.253553 4072.000000
0.253573 3906.000000
0.253595 3836.000000
0.253616 3826.000000
0.253637 3820.000000
0.256281 3776.000000
0.256303 3742.000000
0.256324 3578.000000
0.256344 3550.000000
0.256365 3548.000000
0.259035 3320.000000
0.259057 3306.000000
0.263829 3302.000000
0.263852 3278.000000
0.263872 3264.000000
0.270249 3248.000000
0.270271 3224.000000
0.270293 3208.000000
0.278807 3196.000000
0.278829 3180.000000
0.278919 3162.000000
0.309025 3144.000000
0.309049 3120.000000
0.309070 3100.000000
0.382556 3078.000000
0.382579 3008.000000
0.382600 3004.000000
0.388157 2990.000000
0.388179 2920.000000
0.388202 2870.000000
0.388223 2868.000000
0.412374 2864.000000
0.412396 2814.000000
0.412416 2794.000000
0.412437 2792.000000
0.813254 2782.000000
0.813281 2712.000000
0.813303 2692.000000
0.813324 2690.000000
0.873894 2676.000000
0.873917 2666.000000
1.199044 2588.000000
1.199069 2578.000000
1.199089 2576.000000
1.199962 2568.000000
1.199983 2558.000000
45.986633 2558.000000
