# Time(s) ObjectiveValue
26.8836 70020
31.8 68492
37.2997 68490
42.4846 64652
120.293 64628
125.604 64394
135.933 62434
141.061 61418
146.295 60316
161.971 60264
177.834 59504
203.892 59082
219.619 59074
271.576 58940
276.727 58930
292.325 58924
312.881 58922
478.922 58204
504.636 58098
520.091 58058
556.661 58052
634.947 58004
656.278 57992
854.937 57942
860.206 57928
875.632 57922
911.778 57920
953.1 57802
958.353 57622
968.827 57614
979.103 57600
984.148 57588
1062.62 56494
1072.95 56468
1306.11 55274
1311.07 55252
1316.12 55250
1336.38 55038
1746.51 54324
1756.77 54220
1802.37 54220
