# Time(s) ObjectiveValue
27.8539 64732
38.8885 62818
120.98 62728
143.709 61476
149.131 61420
160.206 61116
165.842 60918
176.85 60890
214.932 60880
220.402 60868
302.556 59940
340.849 59934
346.508 59922
357.531 59522
368.562 59464
385.065 59446
395.899 59126
487.319 59118
492.597 59116
593.76 59062
599.04 58982
604.286 58972
657.666 57094
668.537 57042
684.765 57038
695.59 57032
722.239 57022
916.979 57012
927.862 56790
954.743 56768
965.433 56762
970.735 56756
976.187 56356
981.774 56266
992.424 56250
1003.29 56240
1014.17 56236
1019.57 56214
1062.3 56056
1094.57 54716
1121.69 54706
1803.21 54706
