# Time(s) ObjectiveValue
0.002072 962306.000000
0.002246 943244.000000
0.002405 919492.000000
0.002564 894158.000000
0.002720 863474.000000
0.002877 828508.000000
0.003033 789446.000000
0.003185 746084.000000
0.003343 700318.000000
0.003493 652282.000000
0.003645 599216.000000
0.003803 541188.000000
0.003954 478564.000000
0.004102 410250.000000
0.004253 337946.000000
0.004403 260274.000000
0.004552 177974.000000
0.004698 92752.000000
0.004850 88048.000000
0.004998 86606.000000
0.005143 85310.000000
0.005288 84024.000000
0.005434 82926.000000
0.005577 81920.000000
0.005721 80990.000000
0.005864 79946.000000
0.006006 79176.000000
0.006148 78362.000000
0.006289 77540.000000
0.006430 76622.000000
0.006570 75664.000000
0.006713 74926.000000
0.006856 74214.000000
0.006996 73518.000000
0.007137 72686.000000
0.007279 71864.000000
0.007420 71214.000000
0.007559 70706.000000
0.007699 70164.000000
0.007841 69552.000000
0.007981 69122.000000
0.008119 68702.000000
0.008258 68312.000000
0.008397 67918.000000
0.008538 67534.000000
0.008678 67152.000000
0.008822 66838.000000
0.008961 66290.000000
0.009103 66008.000000
0.009279 65676.000000
0.009420 65394.000000
0.009561 65152.000000
0.009701 65024.000000
0.009843 64724.000000
0.009984 64608.000000
0.010121 64518.000000
0.010263 64416.000000
0.010404 64174.000000
0.010543 63864.000000
0.010680 63754.000000
0.010825 63668.000000
0.010966 63608.000000
0.011109 63074.000000
0.011250 62762.000000
0.011389 62552.000000
0.011532 62436.000000
0.011674 62124.000000
0.011818 62018.000000
0.011958 61980.000000
0.012100 61950.000000
0.012240 61926.000000
0.012378 61912.000000
0.012517 61900.000000
0.012659 61890.000000
0.012804 61888.000000
0.012944 61880.000000
0.013914 61874.000000
0.015003 61848.000000
0.015143 61842.000000
0.015283 61840.000000
0.017331 61762.000000
0.017473 61396.000000
0.017614 61136.000000
0.017756 60874.000000
0.017897 60740.000000
0.018037 60692.000000
0.018177 60652.000000
0.018318 60600.000000
0.018458 60566.000000
0.018599 60378.000000
0.018738 60358.000000
0.018878 60340.000000
0.019017 60326.000000
0.019158 60312.000000
0.019299 60304.000000
0.019442 60302.000000
0.028116 60274.000000
0.028255 60134.000000
0.028394 60090.000000
0.028532 60052.000000
0.028672 60014.000000
0.028812 59978.000000
0.028947 59948.000000
0.029083 59932.000000
0.029220 59918.000000
0.029358 59908.000000
0.029495 59900.000000
0.029634 59892.000000
0.029775 59890.000000
0.030182 59888.000000
0.108744 59854.000000
0.108898 59756.000000
0.109034 59704.000000
0.109174 59656.000000
0.109308 59612.000000
0.109445 59568.000000
0.109584 59530.000000
0.109723 59500.000000
0.109863 59470.000000
0.110001 59446.000000
0.110137 59426.000000
0.110273 59412.000000
0.110410 59402.000000
0.110548 59394.000000
0.110685 59376.000000
0.110826 59362.000000
0.110965 59356.000000
0.111101 59352.000000
0.111240 59350.000000
0.111378 59348.000000
0.429632 59314.000000
0.429773 59234.000000
0.429912 59168.000000
0.430050 59108.000000
0.430187 59048.000000
0.430326 58988.000000
0.430459 58940.000000
0.430596 58896.000000
0.430734 58852.000000
0.430874 58814.000000
0.431012 58784.000000
0.431150 58756.000000
0.431288 58730.000000
0.431424 58706.000000
0.431559 58686.000000
0.431697 58668.000000
0.431838 58652.000000
0.431973 58634.000000
0.432110 58624.000000
0.432249 58616.000000
0.432383 58584.000000
0.432519 58580.000000
0.432657 58578.000000
0.432797 58576.000000
0.559630 58480.000000
0.559769 58400.000000
0.559904 58332.000000
0.560041 58270.000000
0.560178 58212.000000
0.560315 58156.000000
0.560451 58112.000000
0.560588 58068.000000
0.560727 58026.000000
0.560864 57986.000000
0.561001 57948.000000
0.561140 57914.000000
0.561279 57888.000000
0.561416 57870.000000
0.561553 57846.000000
0.561691 57826.000000
0.561831 57810.000000
0.561966 57792.000000
0.562103 57780.000000
0.562240 57770.000000
0.562375 57710.000000
0.562511 57704.000000
0.562646 57700.000000
0.562788 57696.000000
5.465694 57454.000000
5.465837 57324.000000
5.465976 57196.000000
5.466113 57084.000000
5.466251 56988.000000
5.466389 56906.000000
5.466528 56838.000000
5.466675 56788.000000
5.466815 56744.000000
5.466951 56710.000000
5.467087 56678.000000
5.467224 56654.000000
5.467365 56638.000000
5.467503 56622.000000
5.467641 56606.000000
5.467781 56594.000000
5.467917 56582.000000
151.793910 56556.000000
151.794065 56510.000000
151.794207 56470.000000
151.794343 56468.000000
151.794482 56458.000000
151.794626 56456.000000
151.794765 56434.000000
151.794905 56432.000000
172.035613 56426.000000
172.035760 56328.000000
172.035899 56286.000000
172.036036 56250.000000
172.036174 56224.000000
172.036313 56202.000000
172.036452 56188.000000
172.036590 56176.000000
172.036727 56168.000000
172.036863 56162.000000
172.037002 56150.000000
172.038741 56136.000000
172.038877 56122.000000
172.039012 56110.000000
172.039150 56102.000000
172.039287 56100.000000
368.904599 56098.000000
368.904762 56062.000000
368.904903 56038.000000
368.905042 56018.000000
368.905858 55958.000000
368.906135 55942.000000
368.909248 55924.000000
368.909387 55914.000000
368.909527 55890.000000
368.909666 55882.000000
368.909802 55876.000000
600.000061 55876.000000
