# Time(s) ObjectiveValue
0.001570 809264.000000
0.001734 793848.000000
0.001892 775578.000000
0.002049 754334.000000
0.002207 727846.000000
0.002364 698084.000000
0.002519 665388.000000
0.002672 629200.000000
0.002826 589278.000000
0.002981 545462.000000
0.003138 496110.000000
0.003289 443596.000000
0.003438 387242.000000
0.003586 326602.000000
0.003734 262186.000000
0.003880 194380.000000
0.004026 120998.000000
0.004175 46366.000000
0.004325 44866.000000
0.004472 43620.000000
0.004617 42548.000000
0.004759 41204.000000
0.004901 40136.000000
0.005042 39074.000000
0.005187 38266.000000
0.005326 37348.000000
0.005463 36232.000000
0.005599 35522.000000
0.005738 34824.000000
0.005876 34156.000000
0.006014 33544.000000
0.006156 33024.000000
0.006295 32560.000000
0.006430 31810.000000
0.006568 31376.000000
0.006702 30948.000000
0.006841 30372.000000
0.006977 29688.000000
0.007118 29210.000000
0.007253 28764.000000
0.007388 28432.000000
0.007526 28138.000000
0.007661 27852.000000
0.007795 27598.000000
0.007930 27360.000000
0.008067 27180.000000
0.008204 26906.000000
0.008340 26634.000000
0.008477 26398.000000
0.008614 26172.000000
0.008772 25628.000000
0.008928 25096.000000
0.009084 24938.000000
0.009229 24488.000000
0.009374 24086.000000
0.009516 23948.000000
0.009660 23364.000000
0.009813 22928.000000
0.009958 22004.000000
0.010106 21804.000000
0.010248 21680.000000
0.010393 21562.000000
0.010536 21240.000000
0.010682 20920.000000
0.010826 20736.000000
0.010968 20554.000000
0.011116 20456.000000
0.011260 20378.000000
0.011404 20304.000000
0.011549 20234.000000
0.011696 20176.000000
0.011841 20116.000000
0.011986 20068.000000
0.012134 20026.000000
0.012279 19998.000000
0.012421 19972.000000
0.012566 19948.000000
0.012712 19924.000000
0.012854 19906.000000
0.012999 19888.000000
0.013147 19872.000000
0.013291 19860.000000
0.013436 19850.000000
0.013581 19798.000000
0.013726 19754.000000
0.013869 19730.000000
0.014011 19520.000000
0.014158 19402.000000
0.014304 19306.000000
0.014453 19268.000000
0.014600 19234.000000
0.014745 19226.000000
0.014887 19220.000000
0.015030 19216.000000
0.015183 19214.000000
0.016874 19208.000000
0.017017 19202.000000
0.017158 19200.000000
0.017297 19198.000000
0.287596 19170.000000
0.287750 19120.000000
0.287886 19072.000000
0.288028 19026.000000
0.288166 18990.000000
0.288306 18954.000000
0.288442 18920.000000
0.288580 18890.000000
0.288716 18866.000000
0.288856 18848.000000
0.288994 18838.000000
0.289134 18832.000000
0.289270 18828.000000
0.289407 18804.000000
0.289546 18802.000000
0.289684 18800.000000
0.307364 17900.000000
0.307506 17806.000000
0.307645 17730.000000
0.307782 17678.000000
0.307919 17648.000000
0.308057 17618.000000
0.308195 17590.000000
0.308335 17554.000000
0.308472 17528.000000
0.308610 17492.000000
0.308749 17468.000000
0.308888 17454.000000
0.309032 17446.000000
0.309167 17438.000000
7.540548 17270.000000
7.540707 16518.000000
7.540851 16298.000000
7.540992 16134.000000
7.541131 16052.000000
7.541272 15972.000000
7.541410 15898.000000
7.541552 15846.000000
7.541689 15806.000000
7.541831 15770.000000
7.541968 15734.000000
7.542106 15702.000000
7.542245 15582.000000
7.542384 15562.000000
7.542523 15534.000000
7.542660 15514.000000
7.542800 15496.000000
7.542941 15478.000000
7.543081 15464.000000
7.543216 15452.000000
7.543354 15438.000000
7.543491 15426.000000
7.543628 15418.000000
7.543766 15412.000000
7.543906 15408.000000
7.557216 15356.000000
7.557360 15058.000000
7.557502 14556.000000
7.557640 14316.000000
7.557781 14176.000000
7.557923 14094.000000
7.558059 13990.000000
7.558197 13918.000000
7.558334 13848.000000
7.558472 13802.000000
7.558611 13758.000000
7.558750 13716.000000
7.558893 13664.000000
7.559032 13634.000000
7.559171 13614.000000
7.559310 13586.000000
7.707904 13266.000000
7.708048 13212.000000
7.708191 13160.000000
7.708327 13124.000000
7.708464 13096.000000
7.708601 13074.000000
7.708739 13056.000000
7.708878 13042.000000
7.709013 13034.000000
7.709149 13026.000000
7.709285 13018.000000
7.709424 13012.000000
7.709562 13008.000000
7.709700 13004.000000
600.000030 13004.000000
