# Time(s) ObjectiveValue
27.2148 78004
37.9494 77146
48.4548 74570
127.278 73126
132.344 71370
147.671 70288
173.476 70282
183.569 69712
193.708 69040
213.68 68780
223.906 68772
254.825 68242
270.502 68200
275.708 67678
316.82 67672
321.89 67122
332.234 65070
352.864 65068
357.957 65058
452.479 64390
504.365 63934
525.333 62724
567.246 62658
572.401 62650
661.38 62612
671.915 62578
833.2 62568
911.301 62532
926.984 62506
1110.86 62480
1131.75 62392
1137.04 62368
1162.85 62350
1173.51 62346
1330.45 62328
1340.79 62322
1346.08 62320
1476.66 62074
1497.45 62072
1602.46 61954
1613.01 61946
1639.22 61938
1644.52 61928
1665.48 60938
1681.23 60892
1696.7 60888
1881.01 60648
1881.01 60648
