# Time(s) ObjectiveValue
0.000090 88180.000000
0.000116 76246.000000
0.000139 60358.000000
0.000163 41908.000000
0.000186 20774.000000
0.000207 19444.000000
0.000229 18946.000000
0.000250 18418.000000
0.000272 17940.000000
0.000293 17466.000000
0.000313 17154.000000
0.000334 16876.000000
0.000355 16738.000000
0.000376 16524.000000
0.000396 16274.000000
0.000417 16140.000000
0.000444 15956.000000
0.000465 15820.000000
0.000485 15682.000000
0.000510 15608.000000
0.000531 15550.000000
0.000551 15518.000000
0.000572 15498.000000
0.000593 15484.000000
0.000807 15450.000000
0.000828 15430.000000
0.000848 15414.000000
0.000868 15400.000000
0.001078 15338.000000
0.001099 15318.000000
0.001119 15302.000000
0.001486 15280.000000
0.001508 15240.000000
0.001529 15210.000000
0.014200 15208.000000
0.014223 15134.000000
0.014244 15114.000000
0.058470 15096.000000
0.059739 15094.000000
0.059761 14776.000000
0.059782 14630.000000
0.059802 14544.000000
0.059822 14512.000000
0.059843 14496.000000
0.060011 14448.000000
0.060032 14406.000000
0.063835 14382.000000
0.063856 14362.000000
0.064924 14338.000000
0.064945 14290.000000
0.064965 14272.000000
0.104357 14264.000000
0.104378 14260.000000
0.427007 6370.000000
0.427032 5778.000000
0.427053 5500.000000
0.427073 5324.000000
0.427094 5110.000000
0.427115 4868.000000
0.427136 4670.000000
0.427156 4566.000000
0.427177 4470.000000
0.427197 4402.000000
0.427219 4338.000000
0.427240 4326.000000
0.427260 4316.000000
0.427786 4302.000000
0.427807 4228.000000
0.427828 4206.000000
0.427848 4192.000000
0.428853 4126.000000
0.428993 4112.000000
0.429014 4100.000000
0.429034 4088.000000
0.429788 4072.000000
0.429810 3908.000000
0.429830 3874.000000
0.429851 3864.000000
0.429871 3856.000000
0.430076 3688.000000
0.430098 3656.000000
0.430118 3632.000000
0.430139 3620.000000
0.433044 3578.000000
0.434496 3546.000000
0.434518 3504.000000
0.434538 3480.000000
0.434558 3468.000000
0.434578 3460.000000
0.435199 3448.000000
0.435219 3436.000000
0.435239 3426.000000
0.435784 3412.000000
0.435805 3400.000000
0.435825 3390.000000
0.460924 3376.000000
0.460944 3352.000000
0.460964 3336.000000
0.473591 3330.000000
0.473613 3282.000000
0.473633 3242.000000
0.473652 3236.000000
0.475174 3196.000000
0.475195 3142.000000
0.475215 3094.000000
0.475235 3052.000000
0.475254 3034.000000
0.475274 3018.000000
0.475616 2972.000000
0.475637 2924.000000
0.475656 2882.000000
0.475688 2866.000000
0.475707 2856.000000
0.476402 2844.000000
0.476425 2828.000000
0.476444 2822.000000
45.800111 2822.000000
