# Time(s) ObjectiveValue
0.170313 18334222.000000
0.173975 18293954.000000
0.177593 18250360.000000
0.181211 18201238.000000
0.184874 18145902.000000
0.188481 18086696.000000
0.192128 18023280.000000
0.195702 17955258.000000
0.199319 17880764.000000
0.202940 17801992.000000
0.206524 17716842.000000
0.210145 17628794.000000
0.213748 17535800.000000
0.217336 17436548.000000
0.220886 17333134.000000
0.224466 17224220.000000
0.228046 17110094.000000
0.231640 16990240.000000
0.235202 16864406.000000
0.238809 16736534.000000
0.242420 16605174.000000
0.245970 16470020.000000
0.249541 16329686.000000
0.253076 16186110.000000
0.256602 16038632.000000
0.260154 15885346.000000
0.263650 15728638.000000
0.267180 15567542.000000
0.270678 15402808.000000
0.274180 15233468.000000
0.277683 15059160.000000
0.281255 14880788.000000
0.284737 14698406.000000
0.288253 14512536.000000
0.291761 14324030.000000
0.295242 14131280.000000
0.298720 13934266.000000
0.302215 13734044.000000
0.305691 13530294.000000
0.309205 13322882.000000
0.312717 13112886.000000
0.316192 12897952.000000
0.319686 12677662.000000
0.323163 12453050.000000
0.326655 12223528.000000
0.330115 11989636.000000
0.333555 11751530.000000
0.337059 11507830.000000
0.340568 11259374.000000
0.344057 11006656.000000
0.347493 10748092.000000
0.350937 10484602.000000
0.354411 10216150.000000
0.357848 9942130.000000
0.361276 9662860.000000
0.364727 9377818.000000
0.368169 9087020.000000
0.371581 8792566.000000
0.374985 8493306.000000
0.378426 8188266.000000
0.381857 7877470.000000
0.385282 7561352.000000
0.388683 7241082.000000
0.392119 6915128.000000
0.395519 6584872.000000
0.398916 6249966.000000
0.402329 5909964.000000
0.405723 5568598.000000
0.409150 5223736.000000
0.412545 4874298.000000
0.415968 4520046.000000
0.419364 4160566.000000
0.422784 3797326.000000
0.426188 3431708.000000
0.429553 3062130.000000
0.432954 2688520.000000
0.436361 2311880.000000
0.439748 1932696.000000
0.443121 1549648.000000
0.446562 1163772.000000
0.449963 776778.000000
0.453345 386422.000000
0.456764 385054.000000
0.460155 383768.000000
0.463510 382454.000000
0.466890 381208.000000
0.470274 380004.000000
0.473672 378820.000000
0.477016 377658.000000
0.480357 376506.000000
0.483698 375358.000000
0.487030 374216.000000
0.490402 372970.000000
0.493761 371746.000000
0.497120 370442.000000
0.500471 369152.000000
0.503826 367984.000000
0.507161 366832.000000
0.510470 365704.000000
0.513769 364586.000000
0.517065 363488.000000
0.520386 362412.000000
0.523699 361302.000000
0.527023 360214.000000
0.530325 359134.000000
0.533634 358056.000000
0.536930 356958.000000
0.540270 355922.000000
0.543556 354864.000000
0.546831 353698.000000
0.550104 352612.000000
0.553361 351584.000000
0.556655 350594.000000
0.559938 349612.000000
0.563243 348558.000000
0.566500 347580.000000
0.569759 346564.000000
0.573046 345602.000000
0.576276 344610.000000
0.579558 343628.000000
0.582819 342668.000000
0.586099 341730.000000
0.589399 340790.000000
0.592686 339876.000000
0.595985 338918.000000
0.599241 338004.000000
0.602486 337104.000000
0.605763 336150.000000
0.608962 335202.000000
0.612218 334050.000000
0.615465 332860.000000
0.618713 331640.000000
0.621956 330746.000000
0.625172 329844.000000
0.628418 328748.000000
0.631664 327834.000000
0.634887 326924.000000
0.638140 326034.000000
0.641412 325002.000000
0.644675 324016.000000
0.647931 323128.000000
0.651136 322252.000000
0.654353 321380.000000
0.657574 320540.000000
0.660817 319538.000000
0.664048 318486.000000
0.667264 317628.000000
0.670487 316634.000000
0.673697 315650.000000
0.676913 314800.000000
0.680154 313970.000000
0.683368 313150.000000
0.686611 312212.000000
0.689813 311408.000000
0.693053 310614.000000
0.696282 309850.000000
0.699476 309062.000000
0.702693 308320.000000
0.705902 307590.000000
0.709135 306878.000000
0.712354 306088.000000
0.715583 305386.000000
0.718799 304686.000000
0.722014 303764.000000
0.725233 303040.000000
0.728439 302334.000000
0.731646 301484.000000
0.734854 300600.000000
0.738055 299916.000000
0.741285 299246.000000
0.744518 298606.000000
0.747765 297970.000000
0.750966 297268.000000
0.754157 296582.000000
0.757415 295948.000000
0.760610 295322.000000
0.763829 294708.000000
0.767032 293938.000000
0.770240 292988.000000
0.773455 292256.000000
0.776656 291332.000000
0.779857 290566.000000
0.783052 289802.000000
0.786279 288912.000000
0.789503 288306.000000
0.792728 287702.000000
0.795954 287060.000000
0.799155 286384.000000
0.802352 285656.000000
0.805570 285054.000000
0.808777 284464.000000
0.811969 283876.000000
0.815181 283292.000000
0.818428 282704.000000
0.821621 282040.000000
0.824813 281240.000000
0.828011 280346.000000
0.831227 279642.000000
0.834455 279062.000000
0.837656 278360.000000
0.840875 277798.000000
0.844083 277196.000000
0.847284 276422.000000
0.850515 275864.000000
0.853732 275296.000000
0.856919 274756.000000
0.860108 274178.000000
0.863306 273382.000000
0.866534 272846.000000
0.869755 272310.000000
0.872970 271782.000000
0.876117 271166.000000
0.879316 270154.000000
0.882539 269196.000000
0.885757 268062.000000
0.888953 267310.000000
0.892149 266578.000000
0.895383 265916.000000
0.898563 265288.000000
0.901743 264756.000000
0.904950 264202.000000
0.908092 263694.000000
0.911300 263184.000000
0.914496 262316.000000
0.917687 261770.000000
0.920877 261186.000000
0.924083 260682.000000
0.927288 259942.000000
0.930502 259428.000000
0.933694 258946.000000
0.936916 258412.000000
0.940083 257276.000000
0.943285 256646.000000
0.946550 256122.000000
0.949781 255602.000000
0.952952 255114.000000
0.956130 254674.000000
0.959333 254218.000000
0.962544 253772.000000
0.965734 253238.000000
0.968935 252696.000000
0.972127 252148.000000
0.975308 251628.000000
0.978507 251196.000000
0.981698 250398.000000
0.984884 249974.000000
0.988075 249410.000000
0.991285 248768.000000
0.994497 248006.000000
0.997775 247518.000000
1.000998 247096.000000
1.004159 246680.000000
1.007362 246152.000000
1.010581 245710.000000
1.013838 245300.000000
1.017042 244656.000000
1.020249 244248.000000
1.023458 243854.000000
1.026664 243368.000000
1.029866 242996.000000
1.033066 242626.000000
1.036250 242258.000000
1.039464 241900.000000
1.042687 241542.000000
1.045913 241166.000000
1.049089 240810.000000
1.052276 239366.000000
1.055510 239012.000000
1.058681 238680.000000
1.061884 238310.000000
1.065093 237988.000000
1.068307 237650.000000
1.071513 237160.000000
1.074697 236840.000000
1.077901 236524.000000
1.081089 236218.000000
1.084307 235742.000000
1.087524 235108.000000
1.090698 234606.000000
1.093935 234308.000000
1.097153 233706.000000
1.100343 232738.000000
1.103520 232236.000000
1.106703 231934.000000
1.109903 231642.000000
1.113104 231354.000000
1.116302 230910.000000
1.119483 230442.000000
1.122717 230154.000000
1.125897 229822.000000
1.129116 229532.000000
1.132319 229250.000000
1.135497 228990.000000
1.138722 228732.000000
1.141950 228028.000000
1.145153 227466.000000
1.148399 227208.000000
1.151622 226954.000000
1.154796 226708.000000
1.158008 226464.000000
1.161230 226236.000000
1.164422 226018.000000
1.167636 225810.000000
1.170832 225604.000000
1.174028 225384.000000
1.177230 225162.000000
1.180411 224968.000000
