# Time(s) ObjectiveValue
0.023103 7641444.000000
0.024010 7600692.000000
0.024905 7552162.000000
0.025784 7493764.000000
0.026669 7426064.000000
0.027559 7353176.000000
0.028451 7273162.000000
0.029337 7183732.000000
0.030218 7085116.000000
0.031094 6977948.000000
0.031975 6865054.000000
0.032830 6743322.000000
0.033677 6613530.000000
0.034518 6474970.000000
0.035368 6331486.000000
0.036207 6183262.000000
0.037056 6025266.000000
0.037893 5863760.000000
0.038727 5695734.000000
0.039562 5524358.000000
0.040390 5349674.000000
0.041203 5169628.000000
0.042031 4984952.000000
0.042857 4795620.000000
0.043685 4602462.000000
0.044513 4405886.000000
0.045330 4205014.000000
0.046143 3998108.000000
0.046963 3781436.000000
0.047772 3557322.000000
0.048595 3322024.000000
0.049413 3078582.000000
0.050245 2826356.000000
0.051070 2564360.000000
0.051894 2293606.000000
0.052720 2011988.000000
0.053538 1723708.000000
0.054350 1429358.000000
0.055159 1129800.000000
0.055972 830178.000000
0.056792 527254.000000
0.057630 223330.000000
0.058456 220968.000000
0.059272 218944.000000
0.060087 216756.000000
0.060910 214656.000000
0.061726 212590.000000
0.062528 210540.000000
0.063344 208394.000000
0.064156 206314.000000
0.064956 204162.000000
0.065749 202336.000000
0.066544 199926.000000
0.067345 198146.000000
0.068138 196402.000000
0.068933 194422.000000
0.069708 192420.000000
0.070500 190650.000000
0.071292 188876.000000
0.072083 186846.000000
0.072874 184604.000000
0.073659 182284.000000
0.074455 180476.000000
0.075245 178780.000000
0.076021 176690.000000
0.076799 175004.000000
0.077577 173300.000000
0.078365 171664.000000
0.079127 170116.000000
0.079897 168670.000000
0.080669 166996.000000
0.081448 165556.000000
0.082228 164206.000000
0.083000 162866.000000
0.083772 161178.000000
0.084535 159720.000000
0.085323 158296.000000
0.086086 156964.000000
0.086850 155700.000000
0.087622 154478.000000
0.088389 152602.000000
0.089166 151062.000000
0.089937 149850.000000
0.090711 148732.000000
0.091479 147382.000000
0.092245 146184.000000
0.093017 145094.000000
0.093778 144012.000000
0.094547 142930.000000
0.095317 141930.000000
0.096082 140944.000000
0.096856 140040.000000
0.097630 139110.000000
0.098394 138204.000000
0.099152 137088.000000
0.099914 135894.000000
0.100683 132652.000000
0.101447 131778.000000
0.102224 130568.000000
0.102986 129604.000000
0.103759 128068.000000
0.104538 127194.000000
0.105306 126270.000000
0.106066 125414.000000
0.106832 124562.000000
0.107595 123584.000000
0.108361 122724.000000
0.109131 121824.000000
0.109896 121020.000000
0.110661 120082.000000
0.111429 119146.000000
0.112196 118376.000000
0.112965 117630.000000
0.113731 116906.000000
0.114502 115490.000000
0.115264 114342.000000
0.116032 113626.000000
0.116803 112966.000000
0.117575 112168.000000
0.118350 111374.000000
0.119118 110552.000000
0.119875 109732.000000
0.120650 108930.000000
0.121419 108200.000000
0.122179 107562.000000
0.122942 106272.000000
0.123706 105656.000000
0.124472 105064.000000
0.125227 103784.000000
0.125979 103044.000000
0.126753 102438.000000
0.127526 101490.000000
0.128297 99448.000000
0.129055 98874.000000
0.129822 98182.000000
0.130590 97338.000000
0.131352 96766.000000
0.132114 96158.000000
0.132862 95640.000000
0.133637 94316.000000
0.134411 93804.000000
0.135167 93332.000000
0.135937 92778.000000
0.136705 92002.000000
0.137466 91528.000000
0.138227 91104.000000
0.138984 90694.000000
0.139749 90294.000000
0.140520 89912.000000
0.141282 89240.000000
0.142040 88926.000000
0.142807 88594.000000
0.143566 88368.000000
0.144325 87796.000000
0.145094 87346.000000
0.145853 87136.000000
0.146614 86954.000000
0.147386 86788.000000
0.148146 86654.000000
0.148916 86524.000000
0.149682 86398.000000
0.150442 86280.000000
0.151207 86164.000000
0.151974 86048.000000
0.152732 85918.000000
0.153508 85818.000000
0.154269 85718.000000
0.155029 85618.000000
0.155795 85520.000000
0.156562 85426.000000
0.157335 85334.000000
0.158097 85244.000000
0.158870 85156.000000
0.159642 85070.000000
0.160401 84984.000000
0.161172 84904.000000
0.161941 84824.000000
0.162710 84746.000000
0.163477 84678.000000
0.164246 84614.000000
0.164995 84554.000000
0.165760 84494.000000
0.166524 84434.000000
0.167297 84376.000000
0.168061 84328.000000
0.168833 84286.000000
0.169597 84248.000000
0.170356 84212.000000
0.171124 84180.000000
0.171890 84146.000000
0.172670 84114.000000
0.173449 84084.000000
0.174211 84042.000000
0.174976 83996.000000
0.175732 83966.000000
0.176490 83938.000000
0.177251 83914.000000
0.178007 83890.000000
0.178773 83868.000000
0.179538 83846.000000
0.180311 83826.000000
0.181073 83808.000000
0.181844 83792.000000
0.182624 83778.000000
0.183385 83766.000000
0.184149 83752.000000
0.184924 83740.000000
0.185695 83728.000000
0.186452 83720.000000
0.187219 83712.000000
0.187982 83706.000000
0.188746 83686.000000
0.189521 83682.000000
0.194924 83672.000000
0.195688 83670.000000
0.205734 83644.000000
0.206500 83636.000000
0.207264 83634.000000
0.218857 83614.000000
0.219611 83602.000000
0.220374 83590.000000
0.221143 83580.000000
0.221907 83570.000000
0.222679 83566.000000
0.636878 83536.000000
0.637647 82912.000000
0.638416 81808.000000
0.639177 81468.000000
0.639938 80816.000000
0.640709 80520.000000
0.641474 79794.000000
0.642248 78640.000000
0.643015 78304.000000
0.643787 78070.000000
0.644553 77848.000000
0.645316 77610.000000
0.646072 77444.000000
0.646841 77300.000000
0.647605 76874.000000
0.648376 76188.000000
0.649138 76058.000000
0.649901 75952.000000
0.650680 75854.000000
0.651450 75756.000000
0.652218 75658.000000
0.652976 75576.000000
0.653737 75326.000000
0.654508 75232.000000
0.655269 75076.000000
0.656033 75008.000000
0.656798 74794.000000
0.657563 74252.000000
0.658331 74042.000000
0.659095 73932.000000
0.659865 73868.000000
0.660632 73814.000000
0.661405 73762.000000
0.662171 73714.000000
0.662932 73672.000000
0.663699 73630.000000
0.664459 73600.000000
0.665221 73570.000000
0.665984 73524.000000
0.666750 73496.000000
0.667513 73472.000000
0.668288 73448.000000
0.669052 73424.000000
0.669808 73402.000000
0.670576 73384.000000
0.671343 73270.000000
0.672103 73198.000000
0.672858 73162.000000
0.673628 73114.000000
0.674393 73098.000000
0.675159 73082.000000
0.675927 73068.000000
0.676702 73056.000000
0.677478 73044.000000
0.678242 72942.000000
0.679001 72934.000000
0.679766 72926.000000
0.680531 72918.000000
0.681301 72914.000000
0.682059 72910.000000
0.682830 72908.000000
3.234611 72904.000000
3.235395 72850.000000
3.236157 72806.000000
3.236912 72770.000000
3.237681 72738.000000
3.238443 72710.000000
3.239215 72686.000000
3.239978 72668.000000
3.240749 72646.000000
3.241514 72628.000000
3.242287 72612.000000
3.243059 72598.000000
3.243819 72578.000000
3.244591 72538.000000
3.245357 72524.000000
3.246129 72512.000000
3.246900 72508.000000
3.247661 72504.000000
3.248429 72480.000000
3.249191 72476.000000
3.249962 72462.000000
3.250730 72460.000000
3.251498 72458.000000
3.253838 72428.000000
3.254607 72424.000000
232.816569 72174.000000
232.817349 70214.000000
232.818120 69098.000000
232.818898 68694.000000
232.819671 68100.000000
232.820447 67184.000000
232.821224 66852.000000
232.821990 66462.000000
232.822754 66188.000000
232.823529 65944.000000
232.824298 65768.000000
232.825063 65596.000000
232.825827 65436.000000
232.826596 65276.000000
232.827363 65120.000000
232.828126 64972.000000
232.828895 64836.000000
232.829666 64700.000000
232.830436 64566.000000
232.831202 64436.000000
232.831968 64318.000000
232.832730 64200.000000
232.833501 64084.000000
232.834269 63978.000000
232.835031 63880.000000
232.835793 63784.000000
232.836550 63694.000000
232.837311 63612.000000
232.838080 63534.000000
232.838846 63462.000000
232.839615 63392.000000
232.840383 63304.000000
232.841149 63234.000000
232.841916 63166.000000
232.842683 63102.000000
232.843452 63048.000000
232.844223 63000.000000
232.844994 62954.000000
232.845756 62908.000000
232.846526 62862.000000
232.847303 62818.000000
232.848073 62778.000000
232.848844 62738.000000
232.849629 62704.000000
232.850396 62672.000000
232.851166 62640.000000
232.851940 62610.000000
232.852706 62576.000000
232.853480 62554.000000
232.854246 62536.000000
232.855014 62518.000000
232.855790 62500.000000
232.856570 62484.000000
232.857330 62466.000000
232.858093 62450.000000
232.858862 62424.000000
232.859635 62408.000000
232.860411 62394.000000
232.861172 62370.000000
232.861946 62324.000000
232.862715 62310.000000
232.863483 62292.000000
232.864252 62274.000000
232.865011 62250.000000
232.865770 62232.000000
232.866532 62220.000000
232.867349 62182.000000
232.868131 62170.000000
232.868900 62160.000000
232.869669 62154.000000
232.870434 62150.000000
232.871202 62146.000000
232.871959 62144.000000
232.872732 62140.000000
1065.650866 62126.000000
1065.651648 62072.000000
1065.652407 61962.000000
1065.653171 61942.000000
1065.653936 61930.000000
1065.654710 61922.000000
1065.655489 61916.000000
1065.656258 61882.000000
1065.657019 61834.000000
