# Time(s) ObjectiveValue
26.2687 78244
31.5275 73030
140.608 73002
145.842 71352
192.868 70790
208.692 70334
218.817 69776
224.023 69708
239.313 69696
254.733 69676
264.971 69660
295.97 68958
301.103 68932
316.472 68916
331.806 67912
337.048 67872
347.188 67854
352.271 67596
398.24 67592
428.841 67570
434.111 67558
439.277 67554
515.919 67088
521.055 67046
546.521 67036
551.694 67028
577.196 66780
628.255 66744
633.408 66722
715.551 63680
730.912 63612
736.027 63608
761.685 63600
1239.96 63534
1270.24 63530
1275.33 63522
1816.59 63522
